,company,count,time
19,akamai,1,17-04-24T12:12:00Z
20,akamai,1,17-04-24T12:14:00Z
19,akamai,1,17-04-24T12:28:00Z
19,akamai,1,17-04-24T12:35:00Z
19,akamai,1,17-04-24T12:40:00Z
19,akamai,1,17-04-24T12:43:00Z
17,akamai,1,17-04-24T12:44:00Z
16,akamai,1,17-04-24T12:45:00Z
20,akamai,1,17-04-24T12:49:00Z
17,akamai,1,17-04-24T12:53:00Z
15,akamai,1,17-04-24T12:56:00Z
18,akamai,1,17-04-24T13:01:00Z
17,akamai,1,17-04-24T13:08:00Z
19,akamai,1,17-04-24T13:16:00Z
17,akamai,1,17-04-24T13:18:00Z
16,akamai,1,17-04-24T13:20:00Z
17,akamai,3,17-04-24T13:21:00Z
16,akamai,2,17-04-24T13:22:00Z
