,company,count,time
14,amgen,1,17-04-24T11:42:00Z
9,amgen,2,17-04-24T11:48:00Z
11,amgen,1,17-04-24T11:51:00Z
11,amgen,3,17-04-24T12:10:00Z
11,amgen,1,17-04-24T12:21:00Z
12,amgen,1,17-04-24T12:28:00Z
10,amgen,1,17-04-24T12:39:00Z
11,amgen,2,17-04-24T12:43:00Z
7,amgen,2,17-04-24T12:44:00Z
9,amgen,2,17-04-24T12:46:00Z
10,amgen,2,17-04-24T12:47:00Z
7,amgen,1,17-04-24T12:58:00Z
10,amgen,1,17-04-24T13:00:00Z
10,amgen,2,17-04-24T13:01:00Z
11,amgen,1,17-04-24T13:03:00Z
13,amgen,1,17-04-24T13:04:00Z
14,amgen,2,17-04-24T13:06:00Z
12,amgen,1,17-04-24T13:16:00Z
10,amgen,1,17-04-24T13:21:00Z
10,amgen,1,17-04-24T13:24:00Z
12,amgen,1,17-04-24T13:25:00Z
8,amgen,2,17-04-24T13:26:00Z
8,amgen,2,17-04-24T13:47:00Z
7,amgen,1,17-04-24T13:48:00Z
9,amgen,1,17-04-24T14:01:00Z
7,amgen,1,17-04-24T14:02:00Z
11,amgen,1,17-04-24T14:07:00Z
12,amgen,1,17-04-24T14:08:00Z
10,amgen,2,17-04-24T14:15:00Z
11,amgen,2,17-04-24T14:18:00Z
13,amgen,1,17-04-24T14:25:00Z
12,amgen,2,17-04-24T14:26:00Z
12,amgen,1,17-04-24T14:33:00Z
12,amgen,3,17-04-24T14:34:00Z
8,amgen,2,17-04-24T14:35:00Z
4,amgen,1,17-04-24T14:37:00Z
6,amgen,1,17-04-24T14:39:00Z
8,amgen,2,17-04-24T14:45:00Z
10,amgen,1,17-04-24T14:46:00Z
12,amgen,1,17-04-24T14:56:00Z
9,amgen,3,17-04-24T14:57:00Z
9,amgen,3,17-04-24T14:58:00Z
8,amgen,4,17-04-24T14:59:00Z
12,amgen,2,17-04-24T15:00:00Z
11,amgen,1,17-04-24T15:01:00Z
14,amgen,1,17-04-24T15:02:00Z
12,amgen,1,17-04-24T15:04:00Z
5,amgen,3,17-04-24T15:05:00Z
12,amgen,3,17-04-24T15:06:00Z
11,amgen,4,17-04-24T15:07:00Z
11,amgen,3,17-04-24T15:09:00Z
9,amgen,3,17-04-24T15:10:00Z
12,amgen,3,17-04-24T15:11:00Z
11,amgen,1,17-04-24T15:12:00Z
11,amgen,1,17-04-24T15:16:00Z
13,amgen,1,17-04-24T15:17:00Z
11,amgen,3,17-04-24T15:18:00Z
10,amgen,4,17-04-24T15:19:00Z
8,amgen,3,17-04-24T15:20:00Z
10,amgen,3,17-04-24T15:21:00Z
10,amgen,1,17-04-24T15:25:00Z
11,amgen,1,17-04-24T15:30:00Z
11,amgen,2,17-04-24T15:31:00Z
9,amgen,1,17-04-24T15:33:00Z
9,amgen,3,17-04-24T15:34:00Z
12,amgen,11,17-04-24T15:35:00Z
11,amgen,3,17-04-24T15:36:00Z
11,amgen,1,17-04-24T15:37:00Z
11,amgen,3,17-04-24T15:38:00Z
10,amgen,3,17-04-24T15:39:00Z
11,amgen,1,17-04-24T15:40:00Z
9,amgen,1,17-04-24T15:44:00Z
9,amgen,1,17-04-24T15:45:00Z
13,amgen,1,17-04-24T15:48:00Z
10,amgen,1,17-04-24T15:49:00Z
11,amgen,2,17-04-24T15:53:00Z
11,amgen,1,17-04-24T15:54:00Z
9,amgen,2,17-04-24T15:55:00Z
13,amgen,1,17-04-24T16:01:00Z
11,amgen,1,17-04-24T16:02:00Z
8,amgen,2,17-04-24T16:10:00Z
8,amgen,1,17-04-24T16:11:00Z
9,amgen,2,17-04-24T16:20:00Z
11,amgen,1,17-04-24T16:24:00Z
12,amgen,1,17-04-24T16:26:00Z
10,amgen,1,17-04-24T16:29:00Z
12,amgen,3,17-04-24T16:31:00Z
11,amgen,1,17-04-24T16:32:00Z
11,amgen,1,17-04-24T16:33:00Z
11,amgen,1,17-04-24T16:34:00Z
10,amgen,1,17-04-24T16:35:00Z
10,amgen,1,17-04-24T16:36:00Z
6,amgen,3,17-04-24T16:37:00Z
12,amgen,1,17-04-24T16:40:00Z
11,amgen,3,17-04-24T16:41:00Z
11,amgen,2,17-04-24T16:42:00Z
10,amgen,1,17-04-24T16:44:00Z
12,amgen,1,17-04-24T16:46:00Z
11,amgen,2,17-04-24T16:47:00Z
13,amgen,2,17-04-24T16:49:00Z
13,amgen,3,17-04-24T16:51:00Z
13,amgen,1,17-04-24T16:57:00Z
8,amgen,2,17-04-24T16:58:00Z
10,amgen,1,17-04-24T16:59:00Z
11,amgen,2,17-04-24T17:00:00Z
13,amgen,2,17-04-24T17:01:00Z
10,amgen,4,17-04-24T17:02:00Z
13,amgen,1,17-04-24T17:03:00Z
8,amgen,2,17-04-24T18:34:00Z
8,amgen,1,17-04-24T18:35:00Z
8,amgen,4,17-04-24T18:42:00Z
9,amgen,2,17-04-24T18:43:00Z
11,amgen,3,17-04-24T18:45:00Z
12,amgen,3,17-04-24T18:46:00Z
13,amgen,1,17-04-24T18:47:00Z
10,amgen,1,17-04-24T18:50:00Z
7,amgen,2,17-04-24T18:55:00Z
9,amgen,1,17-04-24T18:58:00Z
11,amgen,1,17-04-24T19:11:00Z
9,amgen,1,17-04-24T19:12:00Z
11,amgen,4,17-04-24T19:16:00Z
5,amgen,2,17-04-24T19:19:00Z
11,amgen,1,17-04-24T19:25:00Z
11,amgen,3,17-04-24T20:01:00Z
10,amgen,6,17-04-24T20:02:00Z
9,amgen,2,17-04-24T20:03:00Z
9,amgen,1,17-04-24T20:11:00Z
