,company,count,time
5,apple,65,17-04-23T16:35:00Z
6,apple,80,17-04-23T16:36:00Z
5,apple,87,17-04-23T16:38:00Z
6,apple,86,17-04-23T16:39:00Z
6,apple,80,17-04-23T16:40:00Z
7,apple,85,17-04-23T16:41:00Z
4,apple,74,17-04-23T16:42:00Z
5,apple,82,17-04-23T16:43:00Z
5,apple,75,17-04-23T16:44:00Z
6,apple,87,17-04-23T16:45:00Z
5,apple,98,17-04-23T16:46:00Z
3,apple,44,17-04-23T16:47:00Z
5,apple,1,17-04-23T17:43:00Z
2,apple,2,17-04-23T17:44:00Z
2,apple,2,17-04-23T17:45:00Z
3,apple,2,17-04-23T17:46:00Z
3,apple,1,17-04-23T17:47:00Z
3,apple,2,17-04-23T17:48:00Z
2,apple,1,17-04-23T18:02:00Z
4,apple,6,17-04-23T18:03:00Z
1,apple,5,17-04-23T18:04:00Z
0,apple,1,17-04-23T18:06:00Z
5,apple,5,17-04-23T18:07:00Z
3,apple,4,17-04-23T18:08:00Z
1,apple,2,17-04-23T18:09:00Z
2,apple,3,17-04-23T18:11:00Z
5,apple,6,17-04-23T18:12:00Z
2,apple,4,17-04-23T18:13:00Z
2,apple,5,17-04-23T18:14:00Z
3,apple,4,17-04-23T18:16:00Z
3,apple,2,17-04-23T18:17:00Z
2,apple,5,17-04-23T18:18:00Z
2,apple,5,17-04-23T18:19:00Z
0,apple,4,17-04-23T18:20:00Z
1,apple,1,17-04-23T18:20:30Z
2,apple,2,17-04-23T18:22:00Z
1,apple,3,17-04-23T18:22:30Z
2,apple,1,17-04-23T18:23:30Z
1,apple,3,17-04-23T18:24:00Z
2,apple,1,17-04-23T18:25:00Z
2,apple,3,17-04-23T18:26:00Z
2,apple,2,17-04-23T18:26:30Z
2,apple,1,17-04-23T18:27:00Z
2,apple,4,17-04-23T18:27:30Z
2,apple,2,17-04-23T18:28:00Z
1,apple,2,17-04-23T18:29:30Z
5,apple,5,17-04-23T18:43:30Z
4,apple,6,17-04-23T18:44:00Z
4,apple,4,17-04-23T18:44:30Z
7,apple,6,17-04-23T18:45:00Z
7,apple,40,17-04-23T18:45:30Z
5,apple,93,17-04-23T18:46:00Z
11,apple,59,17-04-23T18:46:30Z
6,apple,109,17-04-23T18:48:00Z
11,apple,70,17-04-23T18:48:30Z
10,apple,26,17-04-23T18:49:00Z
3,apple,175,17-04-23T18:49:30Z
10,apple,37,17-04-23T18:50:00Z
13,apple,75,17-04-23T18:50:30Z
2,apple,65,17-04-23T18:51:00Z
5,apple,58,17-04-23T18:52:00Z
7,apple,141,17-04-23T18:53:00Z
5,apple,130,17-04-23T18:54:00Z
6,apple,156,17-04-23T18:55:00Z
5,apple,192,17-04-23T18:56:00Z
