,company,count,time
14,autodesk,2,17-04-23T16:38:00Z
17,autodesk,1,17-04-23T16:43:00Z
17,autodesk,2,17-04-23T16:45:00Z
16,autodesk,1,17-04-23T18:59:00Z
15,autodesk,1,17-04-23T19:08:00Z
17,autodesk,2,17-04-23T19:15:00Z
17,autodesk,1,17-04-23T19:21:00Z
17,autodesk,1,17-04-23T19:22:00Z
16,autodesk,1,17-04-23T19:28:00Z
16,autodesk,1,17-04-23T19:32:00Z
13,autodesk,2,17-04-23T19:33:00Z
17,autodesk,1,17-04-23T19:39:00Z
17,autodesk,1,17-04-23T19:42:00Z
15,autodesk,1,17-04-23T19:45:00Z
18,autodesk,1,17-04-23T19:48:00Z
16,autodesk,2,17-04-23T19:53:00Z
16,autodesk,1,17-04-23T19:55:00Z
15,autodesk,2,17-04-23T20:00:00Z
17,autodesk,1,17-04-23T20:08:00Z
