,company,count,time
23,biogen,1,17-04-24T11:42:00Z
16,biogen,2,17-04-24T11:48:00Z
15,biogen,1,17-04-24T12:04:00Z
20,biogen,3,17-04-24T12:10:00Z
21,biogen,1,17-04-24T12:14:00Z
16,biogen,1,17-04-24T12:17:00Z
18,biogen,1,17-04-24T12:19:00Z
20,biogen,1,17-04-24T12:21:00Z
17,biogen,2,17-04-24T12:27:00Z
18,biogen,2,17-04-24T12:34:00Z
21,biogen,1,17-04-24T12:35:00Z
19,biogen,1,17-04-24T12:36:00Z
21,biogen,1,17-04-24T12:38:00Z
18,biogen,2,17-04-24T12:39:00Z
16,biogen,1,17-04-24T12:56:00Z
16,biogen,1,17-04-24T12:58:00Z
21,biogen,1,17-04-24T13:03:00Z
23,biogen,1,17-04-24T13:04:00Z
18,biogen,1,17-04-24T13:07:00Z
16,biogen,2,17-04-24T13:08:00Z
19,biogen,1,17-04-24T13:09:00Z
15,biogen,3,17-04-24T13:13:00Z
18,biogen,1,17-04-24T13:14:00Z
18,biogen,1,17-04-24T13:21:00Z
