,company,count,time
19,biomarin,1,17-04-24T12:20:00Z
26,biomarin,1,17-04-24T12:28:00Z
26,biomarin,1,17-04-24T12:34:00Z
29,biomarin,1,17-04-24T12:38:00Z
24,biomarin,2,17-04-24T13:07:00Z
22,biomarin,1,17-04-24T13:16:00Z
24,biomarin,1,17-04-24T13:17:00Z
19,biomarin,1,17-04-24T13:28:00Z
20,biomarin,1,17-04-24T13:57:00Z
25,biomarin,1,17-04-24T14:05:00Z
18,biomarin,1,17-04-24T14:22:00Z
24,biomarin,1,17-04-24T14:30:00Z
20,biomarin,1,17-04-24T14:40:00Z
20,biomarin,2,17-04-24T14:41:00Z
27,biomarin,1,17-04-24T14:42:00Z
26,biomarin,1,17-04-24T14:51:00Z
