,company,count,time
25,cerner,1,17-04-24T11:49:00Z
28,cerner,2,17-04-24T11:59:00Z
25,cerner,3,17-04-24T12:02:00Z
23,cerner,1,17-04-24T12:03:00Z
21,cerner,1,17-04-24T12:04:00Z
18,cerner,1,17-04-24T12:07:00Z
26,cerner,1,17-04-24T12:08:00Z
20,cerner,1,17-04-24T12:13:00Z
27,cerner,1,17-04-24T12:16:00Z
20,cerner,1,17-04-24T12:27:00Z
21,cerner,3,17-04-24T12:36:00Z
24,cerner,5,17-04-24T12:37:00Z
28,cerner,4,17-04-24T12:38:00Z
24,cerner,8,17-04-24T12:39:00Z
23,cerner,5,17-04-24T12:40:00Z
23,cerner,6,17-04-24T12:41:00Z
22,cerner,7,17-04-24T12:42:00Z
23,cerner,9,17-04-24T12:44:00Z
23,cerner,5,17-04-24T12:45:00Z
24,cerner,9,17-04-24T12:46:00Z
26,cerner,7,17-04-24T12:47:00Z
24,cerner,8,17-04-24T12:48:00Z
26,cerner,20,17-04-24T12:49:00Z
26,cerner,13,17-04-24T12:50:00Z
22,cerner,1,17-04-24T12:54:00Z
20,cerner,1,17-04-24T12:55:00Z
20,cerner,1,17-04-24T12:58:00Z
18,cerner,1,17-04-24T12:59:00Z
27,cerner,1,17-04-24T13:03:00Z
28,cerner,4,17-04-24T13:04:00Z
20,cerner,1,17-04-24T13:12:00Z
23,cerner,1,17-04-24T13:17:00Z
20,cerner,1,17-04-24T13:20:00Z
