,company,count,time
4,comcast,1,17-04-23T16:35:00Z
5,comcast,3,17-04-23T16:36:00Z
10,comcast,3,17-04-23T16:38:00Z
11,comcast,5,17-04-23T16:39:00Z
11,comcast,3,17-04-23T16:40:00Z
12,comcast,3,17-04-23T16:41:00Z
9,comcast,3,17-04-23T16:42:00Z
4,comcast,3,17-04-23T16:43:00Z
4,comcast,3,17-04-23T16:44:00Z
5,comcast,1,17-04-23T16:45:00Z
9,comcast,6,17-04-23T16:46:00Z
7,comcast,3,17-04-23T16:47:00Z
2,comcast,1,17-04-23T17:43:00Z
3,comcast,1,17-04-23T17:45:00Z
6,comcast,1,17-04-23T18:45:30Z
4,comcast,3,17-04-23T18:46:00Z
4,comcast,1,17-04-23T18:46:30Z
5,comcast,3,17-04-23T18:48:00Z
9,comcast,2,17-04-23T18:48:30Z
4,comcast,1,17-04-23T18:49:00Z
9,comcast,3,17-04-23T18:50:00Z
5,comcast,1,17-04-23T18:50:30Z
11,comcast,3,17-04-23T18:52:00Z
6,comcast,1,17-04-23T18:53:00Z
10,comcast,5,17-04-23T18:54:00Z
5,comcast,1,17-04-23T18:55:00Z
9,comcast,6,17-04-23T18:56:00Z
5,comcast,2,17-04-23T18:58:00Z
7,comcast,1,17-04-23T18:59:00Z
5,comcast,1,17-04-23T19:00:00Z
7,comcast,9,17-04-23T19:01:00Z
5,comcast,1,17-04-23T19:03:00Z
8,comcast,2,17-04-23T19:04:00Z
11,comcast,4,17-04-23T19:05:00Z
6,comcast,3,17-04-23T19:06:00Z
10,comcast,1,17-04-23T19:07:00Z
3,comcast,1,17-04-23T19:09:00Z
5,comcast,2,17-04-23T19:10:00Z
5,comcast,1,17-04-23T19:11:00Z
9,comcast,2,17-04-23T19:12:00Z
5,comcast,2,17-04-23T19:15:00Z
7,comcast,1,17-04-23T19:16:00Z
10,comcast,2,17-04-23T19:17:00Z
11,comcast,4,17-04-23T19:18:00Z
7,comcast,1,17-04-23T19:20:00Z
15,comcast,5,17-04-23T19:21:00Z
5,comcast,2,17-04-23T19:22:00Z
5,comcast,3,17-04-23T19:27:00Z
10,comcast,4,17-04-23T19:28:00Z
6,comcast,1,17-04-23T19:29:00Z
5,comcast,4,17-04-23T19:30:00Z
7,comcast,2,17-04-23T19:31:00Z
3,comcast,2,17-04-23T19:33:00Z
11,comcast,4,17-04-23T19:34:00Z
10,comcast,3,17-04-23T19:35:00Z
4,comcast,2,17-04-23T19:36:00Z
9,comcast,4,17-04-23T19:37:00Z
8,comcast,2,17-04-23T19:38:00Z
12,comcast,3,17-04-23T19:39:00Z
6,comcast,4,17-04-23T19:41:00Z
6,comcast,7,17-04-23T19:43:00Z
5,comcast,2,17-04-23T19:45:00Z
5,comcast,2,17-04-23T19:46:00Z
5,comcast,3,17-04-23T19:47:00Z
15,comcast,1,17-04-23T19:48:00Z
5,comcast,2,17-04-23T19:49:00Z
9,comcast,4,17-04-23T19:50:00Z
5,comcast,3,17-04-23T19:51:00Z
5,comcast,1,17-04-23T19:52:00Z
5,comcast,2,17-04-23T19:53:00Z
10,comcast,2,17-04-23T19:54:00Z
6,comcast,2,17-04-23T19:55:00Z
5,comcast,2,17-04-23T19:56:00Z
4,comcast,4,17-04-23T19:57:00Z
10,comcast,2,17-04-23T19:58:00Z
6,comcast,2,17-04-23T19:59:00Z
11,comcast,1,17-04-23T20:00:00Z
5,comcast,3,17-04-23T20:01:00Z
12,comcast,4,17-04-23T20:02:00Z
4,comcast,3,17-04-23T20:03:00Z
10,comcast,5,17-04-23T20:04:00Z
12,comcast,3,17-04-23T20:05:00Z
7,comcast,4,17-04-23T20:07:00Z
11,comcast,1,17-04-23T20:08:00Z
5,comcast,7,17-04-23T20:10:00Z
4,comcast,2,17-04-23T20:12:00Z
4,comcast,1,17-04-23T20:14:00Z
9,comcast,1,17-04-23T20:26:00Z
