,company,count,time
18,discovery,7,17-04-23T16:35:00Z
22,discovery,9,17-04-23T16:36:00Z
21,discovery,5,17-04-23T16:38:00Z
24,discovery,8,17-04-23T16:39:00Z
20,discovery,5,17-04-23T16:40:00Z
24,discovery,6,17-04-23T16:41:00Z
20,discovery,9,17-04-23T16:42:00Z
22,discovery,6,17-04-23T16:43:00Z
22,discovery,4,17-04-23T16:44:00Z
23,discovery,5,17-04-23T16:45:00Z
22,discovery,6,17-04-23T16:46:00Z
15,discovery,4,17-04-23T16:47:00Z
5,discovery,1,17-04-23T18:16:00Z
6,discovery,1,17-04-23T18:22:30Z
13,discovery,3,17-04-23T18:43:30Z
10,discovery,7,17-04-23T18:44:00Z
21,discovery,3,17-04-23T18:45:30Z
19,discovery,5,17-04-23T18:46:00Z
18,discovery,4,17-04-23T18:46:30Z
18,discovery,4,17-04-23T18:48:00Z
16,discovery,3,17-04-23T18:49:00Z
14,discovery,1,17-04-23T18:49:30Z
18,discovery,4,17-04-23T18:50:00Z
19,discovery,3,17-04-23T18:50:30Z
15,discovery,3,17-04-23T18:51:00Z
21,discovery,1,17-04-23T18:52:00Z
19,discovery,2,17-04-23T18:53:00Z
21,discovery,3,17-04-23T18:54:00Z
19,discovery,8,17-04-23T18:55:00Z
21,discovery,3,17-04-23T18:56:00Z
20,discovery,3,17-04-23T18:57:00Z
22,discovery,8,17-04-23T18:58:00Z
22,discovery,3,17-04-23T18:59:00Z
20,discovery,9,17-04-23T19:00:00Z
24,discovery,14,17-04-23T19:01:00Z
21,discovery,5,17-04-23T19:02:00Z
21,discovery,10,17-04-23T19:03:00Z
21,discovery,5,17-04-23T19:04:00Z
20,discovery,8,17-04-23T19:05:00Z
26,discovery,7,17-04-23T19:06:00Z
21,discovery,7,17-04-23T19:07:00Z
24,discovery,8,17-04-23T19:08:00Z
20,discovery,6,17-04-23T19:09:00Z
24,discovery,5,17-04-23T19:10:00Z
20,discovery,5,17-04-23T19:11:00Z
21,discovery,10,17-04-23T19:12:00Z
18,discovery,7,17-04-23T19:13:00Z
21,discovery,23,17-04-23T19:14:00Z
20,discovery,10,17-04-23T19:15:00Z
20,discovery,2,17-04-23T19:16:00Z
21,discovery,10,17-04-23T19:17:00Z
19,discovery,8,17-04-23T19:18:00Z
22,discovery,7,17-04-23T19:19:00Z
22,discovery,4,17-04-23T19:20:00Z
22,discovery,5,17-04-23T19:21:00Z
23,discovery,4,17-04-23T19:22:00Z
18,discovery,3,17-04-23T19:23:00Z
19,discovery,5,17-04-23T19:24:00Z
19,discovery,7,17-04-23T19:25:00Z
20,discovery,5,17-04-23T19:26:00Z
22,discovery,4,17-04-23T19:27:00Z
20,discovery,9,17-04-23T19:28:00Z
20,discovery,5,17-04-23T19:29:00Z
17,discovery,3,17-04-23T19:30:00Z
27,discovery,12,17-04-23T19:31:00Z
22,discovery,8,17-04-23T19:32:00Z
20,discovery,9,17-04-23T19:33:00Z
22,discovery,5,17-04-23T19:34:00Z
21,discovery,6,17-04-23T19:35:00Z
18,discovery,11,17-04-23T19:36:00Z
19,discovery,9,17-04-23T19:37:00Z
28,discovery,53,17-04-23T19:38:00Z
24,discovery,19,17-04-23T19:39:00Z
22,discovery,6,17-04-23T19:40:00Z
24,discovery,1,17-04-23T19:41:00Z
20,discovery,7,17-04-23T19:42:00Z
24,discovery,8,17-04-23T19:43:00Z
20,discovery,3,17-04-23T19:44:00Z
19,discovery,9,17-04-23T19:45:00Z
21,discovery,10,17-04-23T19:46:00Z
19,discovery,9,17-04-23T19:47:00Z
22,discovery,4,17-04-23T19:48:00Z
21,discovery,2,17-04-23T19:49:00Z
18,discovery,3,17-04-23T19:50:00Z
24,discovery,3,17-04-23T19:51:00Z
22,discovery,5,17-04-23T19:52:00Z
21,discovery,4,17-04-23T19:53:00Z
18,discovery,6,17-04-23T19:54:00Z
20,discovery,4,17-04-23T19:55:00Z
21,discovery,1,17-04-23T19:56:00Z
19,discovery,8,17-04-23T19:57:00Z
19,discovery,8,17-04-23T19:58:00Z
24,discovery,7,17-04-23T19:59:00Z
19,discovery,7,17-04-23T20:00:00Z
21,discovery,11,17-04-23T20:01:00Z
23,discovery,5,17-04-23T20:02:00Z
18,discovery,6,17-04-23T20:03:00Z
20,discovery,9,17-04-23T20:04:00Z
21,discovery,8,17-04-23T20:05:00Z
20,discovery,6,17-04-23T20:06:00Z
22,discovery,5,17-04-23T20:07:00Z
23,discovery,6,17-04-23T20:08:00Z
17,discovery,9,17-04-23T20:09:00Z
23,discovery,11,17-04-23T20:10:00Z
20,discovery,11,17-04-23T20:11:00Z
21,discovery,6,17-04-23T20:12:00Z
18,discovery,9,17-04-23T20:13:00Z
19,discovery,1,17-04-23T20:14:00Z
20,discovery,1,17-04-23T20:26:00Z
