,company,count,time
5,facebook,374,17-04-24T11:42:00Z
5,facebook,178,17-04-24T11:43:00Z
4,facebook,262,17-04-24T11:44:00Z
3,facebook,191,17-04-24T11:45:00Z
3,facebook,224,17-04-24T11:46:00Z
3,facebook,199,17-04-24T11:48:00Z
4,facebook,224,17-04-24T11:49:00Z
4,facebook,218,17-04-24T11:50:00Z
3,facebook,204,17-04-24T11:51:00Z
3,facebook,109,17-04-24T11:52:00Z
6,facebook,384,17-04-24T11:59:00Z
4,facebook,165,17-04-24T12:00:00Z
6,facebook,437,17-04-24T12:01:00Z
6,facebook,283,17-04-24T12:02:00Z
3,facebook,320,17-04-24T12:03:00Z
4,facebook,198,17-04-24T12:04:00Z
4,facebook,204,17-04-24T12:05:00Z
3,facebook,203,17-04-24T12:06:00Z
3,facebook,207,17-04-24T12:07:00Z
4,facebook,183,17-04-24T12:08:00Z
3,facebook,154,17-04-24T12:09:00Z
3,facebook,145,17-04-24T12:10:00Z
4,facebook,204,17-04-24T12:11:00Z
4,facebook,171,17-04-24T12:12:00Z
3,facebook,178,17-04-24T12:13:00Z
4,facebook,180,17-04-24T12:14:00Z
4,facebook,146,17-04-24T12:15:00Z
5,facebook,195,17-04-24T12:16:00Z
3,facebook,165,17-04-24T12:17:00Z
4,facebook,141,17-04-24T12:18:00Z
4,facebook,169,17-04-24T12:19:00Z
3,facebook,201,17-04-24T12:20:00Z
4,facebook,167,17-04-24T12:21:00Z
4,facebook,178,17-04-24T12:22:00Z
3,facebook,164,17-04-24T12:23:00Z
3,facebook,52,17-04-24T12:24:00Z
3,facebook,117,17-04-24T12:25:00Z
5,facebook,171,17-04-24T12:26:00Z
4,facebook,145,17-04-24T12:27:00Z
5,facebook,169,17-04-24T12:28:00Z
3,facebook,229,17-04-24T12:29:00Z
4,facebook,139,17-04-24T12:30:00Z
5,facebook,379,17-04-24T12:31:00Z
3,facebook,234,17-04-24T12:32:00Z
3,facebook,332,17-04-24T12:33:00Z
5,facebook,160,17-04-24T12:34:00Z
4,facebook,198,17-04-24T12:35:00Z
3,facebook,242,17-04-24T12:36:00Z
3,facebook,178,17-04-24T12:37:00Z
7,facebook,191,17-04-24T12:38:00Z
4,facebook,171,17-04-24T12:39:00Z
3,facebook,173,17-04-24T12:40:00Z
5,facebook,238,17-04-24T12:41:00Z
4,facebook,179,17-04-24T12:42:00Z
3,facebook,157,17-04-24T12:43:00Z
3,facebook,160,17-04-24T12:44:00Z
3,facebook,161,17-04-24T12:45:00Z
3,facebook,227,17-04-24T12:46:00Z
4,facebook,156,17-04-24T12:47:00Z
3,facebook,164,17-04-24T12:48:00Z
4,facebook,206,17-04-24T12:49:00Z
5,facebook,220,17-04-24T12:50:00Z
4,facebook,208,17-04-24T12:51:00Z
3,facebook,170,17-04-24T12:52:00Z
3,facebook,157,17-04-24T12:53:00Z
4,facebook,150,17-04-24T12:54:00Z
3,facebook,148,17-04-24T12:55:00Z
3,facebook,194,17-04-24T12:56:00Z
3,facebook,141,17-04-24T12:57:00Z
3,facebook,163,17-04-24T12:58:00Z
3,facebook,156,17-04-24T12:59:00Z
4,facebook,170,17-04-24T13:00:00Z
1,facebook,371,17-04-24T13:01:00Z
5,facebook,261,17-04-24T13:02:00Z
4,facebook,209,17-04-24T13:03:00Z
6,facebook,198,17-04-24T13:04:00Z
4,facebook,195,17-04-24T13:05:00Z
5,facebook,229,17-04-24T13:06:00Z
3,facebook,198,17-04-24T13:07:00Z
3,facebook,193,17-04-24T13:08:00Z
4,facebook,190,17-04-24T13:09:00Z
4,facebook,175,17-04-24T13:10:00Z
4,facebook,188,17-04-24T13:11:00Z
3,facebook,167,17-04-24T13:12:00Z
3,facebook,147,17-04-24T13:13:00Z
5,facebook,157,17-04-24T13:14:00Z
4,facebook,157,17-04-24T13:15:00Z
4,facebook,264,17-04-24T13:16:00Z
3,facebook,179,17-04-24T13:17:00Z
4,facebook,164,17-04-24T13:18:00Z
5,facebook,164,17-04-24T13:19:00Z
3,facebook,146,17-04-24T13:20:00Z
3,facebook,193,17-04-24T13:21:00Z
3,facebook,175,17-04-24T13:22:00Z
6,facebook,203,17-04-24T13:23:00Z
3,facebook,171,17-04-24T13:24:00Z
4,facebook,190,17-04-24T13:25:00Z
