,company,count,time
6,fiserv,1,17-04-24T11:45:00Z
6,fiserv,1,17-04-24T11:49:00Z
6,fiserv,1,17-04-24T11:51:00Z
6,fiserv,1,17-04-24T13:07:00Z
9,fiserv,2,17-04-24T13:23:00Z
7,fiserv,1,17-04-24T13:38:00Z
6,fiserv,1,17-04-24T13:53:00Z
7,fiserv,1,17-04-24T13:57:00Z
5,fiserv,1,17-04-24T14:48:00Z
6,fiserv,1,17-04-24T14:51:00Z
4,fiserv,1,17-04-24T14:53:00Z
6,fiserv,1,17-04-24T15:00:00Z
8,fiserv,1,17-04-24T15:02:00Z
8,fiserv,2,17-04-24T15:11:00Z
6,fiserv,1,17-04-24T16:00:00Z
7,fiserv,2,17-04-24T16:01:00Z
4,fiserv,2,17-04-24T16:11:00Z
6,fiserv,1,17-04-24T16:12:00Z
7,fiserv,2,17-04-24T16:16:00Z
6,fiserv,1,17-04-24T16:25:00Z
7,fiserv,1,17-04-24T16:28:00Z
6,fiserv,1,17-04-24T16:31:00Z
6,fiserv,3,17-04-24T16:32:00Z
5,fiserv,2,17-04-24T16:41:00Z
4,fiserv,1,17-04-24T16:45:00Z
7,fiserv,1,17-04-24T16:46:00Z
5,fiserv,1,17-04-24T16:47:00Z
