,company,count,time
7,garmin,4,17-04-24T11:42:00Z
7,garmin,2,17-04-24T11:43:00Z
6,garmin,2,17-04-24T11:44:00Z
5,garmin,4,17-04-24T11:45:00Z
5,garmin,2,17-04-24T11:46:00Z
5,garmin,1,17-04-24T11:48:00Z
6,garmin,6,17-04-24T11:50:00Z
5,garmin,3,17-04-24T11:51:00Z
5,garmin,2,17-04-24T11:52:00Z
8,garmin,3,17-04-24T11:59:00Z
6,garmin,4,17-04-24T12:00:00Z
8,garmin,3,17-04-24T12:01:00Z
3,garmin,5,17-04-24T12:02:00Z
5,garmin,2,17-04-24T12:03:00Z
5,garmin,1,17-04-24T12:06:00Z
4,garmin,1,17-04-24T12:07:00Z
6,garmin,3,17-04-24T12:08:00Z
6,garmin,8,17-04-24T12:11:00Z
6,garmin,1,17-04-24T12:12:00Z
1,garmin,2,17-04-24T12:13:00Z
6,garmin,2,17-04-24T12:14:00Z
6,garmin,2,17-04-24T12:15:00Z
7,garmin,1,17-04-24T12:16:00Z
0,garmin,2,17-04-24T12:17:00Z
6,garmin,2,17-04-24T12:18:00Z
5,garmin,2,17-04-24T12:20:00Z
6,garmin,1,17-04-24T12:21:00Z
6,garmin,3,17-04-24T12:22:00Z
5,garmin,1,17-04-24T12:23:00Z
5,garmin,1,17-04-24T12:24:00Z
5,garmin,1,17-04-24T12:25:00Z
7,garmin,1,17-04-24T12:26:00Z
3,garmin,1,17-04-24T12:27:00Z
6,garmin,4,17-04-24T12:30:00Z
7,garmin,3,17-04-24T12:31:00Z
5,garmin,1,17-04-24T12:33:00Z
6,garmin,1,17-04-24T12:35:00Z
4,garmin,2,17-04-24T12:36:00Z
5,garmin,2,17-04-24T12:37:00Z
9,garmin,2,17-04-24T12:38:00Z
5,garmin,3,17-04-24T12:40:00Z
7,garmin,2,17-04-24T12:41:00Z
6,garmin,2,17-04-24T12:42:00Z
5,garmin,2,17-04-24T12:43:00Z
5,garmin,2,17-04-24T12:44:00Z
4,garmin,2,17-04-24T12:45:00Z
6,garmin,1,17-04-24T12:47:00Z
5,garmin,4,17-04-24T12:48:00Z
6,garmin,2,17-04-24T12:49:00Z
7,garmin,2,17-04-24T12:50:00Z
6,garmin,1,17-04-24T12:51:00Z
5,garmin,4,17-04-24T12:52:00Z
4,garmin,2,17-04-24T12:53:00Z
1,garmin,2,17-04-24T12:55:00Z
5,garmin,4,17-04-24T12:57:00Z
4,garmin,3,17-04-24T12:59:00Z
7,garmin,2,17-04-24T13:02:00Z
6,garmin,3,17-04-24T13:03:00Z
8,garmin,4,17-04-24T13:04:00Z
6,garmin,4,17-04-24T13:05:00Z
7,garmin,8,17-04-24T13:06:00Z
5,garmin,1,17-04-24T13:07:00Z
6,garmin,2,17-04-24T13:09:00Z
6,garmin,1,17-04-24T13:10:00Z
6,garmin,1,17-04-24T13:11:00Z
5,garmin,1,17-04-24T13:17:00Z
6,garmin,3,17-04-24T13:18:00Z
7,garmin,1,17-04-24T13:19:00Z
5,garmin,1,17-04-24T13:22:00Z
4,garmin,2,17-04-24T13:23:00Z
5,garmin,6,17-04-24T13:24:00Z
6,garmin,2,17-04-24T13:25:00Z
