,company,count,time
3,gilead,4,17-04-24T11:43:00Z
3,gilead,1,17-04-24T11:50:00Z
5,gilead,2,17-04-24T12:01:00Z
4,gilead,1,17-04-24T12:02:00Z
3,gilead,1,17-04-24T12:04:00Z
2,gilead,1,17-04-24T12:05:00Z
4,gilead,3,17-04-24T12:16:00Z
3,gilead,1,17-04-24T12:18:00Z
3,gilead,1,17-04-24T12:19:00Z
4,gilead,1,17-04-24T12:26:00Z
3,gilead,1,17-04-24T12:28:00Z
3,gilead,1,17-04-24T12:35:00Z
6,gilead,2,17-04-24T12:38:00Z
3,gilead,1,17-04-24T12:39:00Z
0,gilead,2,17-04-24T12:41:00Z
3,gilead,1,17-04-24T12:42:00Z
0,gilead,1,17-04-24T12:50:00Z
5,gilead,3,17-04-24T13:04:00Z
3,gilead,1,17-04-24T13:06:00Z
2,gilead,5,17-04-24T13:10:00Z
3,gilead,1,17-04-24T13:11:00Z
4,gilead,2,17-04-24T13:12:00Z
4,gilead,1,17-04-24T13:19:00Z
5,gilead,3,17-04-24T13:23:00Z
2,gilead,1,17-04-24T13:33:00Z
4,gilead,1,17-04-24T13:39:00Z
5,gilead,1,17-04-24T13:42:00Z
2,gilead,1,17-04-24T13:44:00Z
3,gilead,2,17-04-24T13:46:00Z
3,gilead,2,17-04-24T13:51:00Z
4,gilead,1,17-04-24T13:52:00Z
3,gilead,2,17-04-24T13:55:00Z
2,gilead,1,17-04-24T13:57:00Z
4,gilead,1,17-04-24T14:01:00Z
4,gilead,1,17-04-24T14:03:00Z
5,gilead,2,17-04-24T14:04:00Z
2,gilead,1,17-04-24T14:06:00Z
3,gilead,1,17-04-24T14:11:00Z
3,gilead,1,17-04-24T14:12:00Z
2,gilead,1,17-04-24T14:13:00Z
3,gilead,1,17-04-24T14:25:00Z
3,gilead,1,17-04-24T14:29:00Z
6,gilead,1,17-04-24T14:32:00Z
2,gilead,1,17-04-24T14:36:00Z
4,gilead,2,17-04-24T14:42:00Z
2,gilead,1,17-04-24T14:45:00Z
2,gilead,1,17-04-24T14:57:00Z
2,gilead,1,17-04-24T14:59:00Z
2,gilead,1,17-04-24T15:00:00Z
3,gilead,1,17-04-24T15:01:00Z
3,gilead,1,17-04-24T15:03:00Z
4,gilead,1,17-04-24T15:04:00Z
2,gilead,1,17-04-24T15:09:00Z
4,gilead,2,17-04-24T15:11:00Z
3,gilead,1,17-04-24T15:12:00Z
2,gilead,3,17-04-24T15:14:00Z
2,gilead,2,17-04-24T15:25:00Z
4,gilead,1,17-04-24T15:42:00Z
3,gilead,2,17-04-24T15:47:00Z
2,gilead,1,17-04-24T15:52:00Z
3,gilead,1,17-04-24T15:59:00Z
2,gilead,1,17-04-24T16:00:00Z
3,gilead,1,17-04-24T16:03:00Z
3,gilead,5,17-04-24T16:12:00Z
2,gilead,2,17-04-24T16:15:00Z
4,gilead,4,17-04-24T16:18:00Z
2,gilead,1,17-04-24T16:19:00Z
3,gilead,2,17-04-24T16:20:00Z
3,gilead,1,17-04-24T16:21:00Z
3,gilead,3,17-04-24T16:23:00Z
2,gilead,1,17-04-24T16:24:00Z
3,gilead,1,17-04-24T16:26:00Z
3,gilead,1,17-04-24T16:28:00Z
3,gilead,1,17-04-24T16:29:00Z
2,gilead,1,17-04-24T16:31:00Z
2,gilead,1,17-04-24T16:32:00Z
2,gilead,1,17-04-24T16:40:00Z
5,gilead,1,17-04-24T16:49:00Z
5,gilead,1,17-04-24T16:56:00Z
0,gilead,1,17-04-24T16:58:00Z
5,gilead,1,17-04-24T17:01:00Z
4,gilead,1,17-04-24T17:03:00Z
3,gilead,1,17-04-24T18:42:00Z
4,gilead,1,17-04-24T18:47:00Z
1,gilead,1,17-04-24T19:14:00Z
3,gilead,1,17-04-24T19:16:00Z
3,gilead,1,17-04-24T19:17:00Z
2,gilead,1,17-04-24T19:28:00Z
2,gilead,1,17-04-24T19:32:00Z
2,gilead,1,17-04-24T19:33:00Z
1,gilead,1,17-04-24T19:34:00Z
2,gilead,1,17-04-24T19:39:00Z
4,gilead,2,17-04-24T20:05:00Z
3,gilead,1,17-04-24T20:17:00Z
2,gilead,1,17-04-24T20:19:00Z
