,company,count,time
20,illumina,1,17-04-24T11:48:00Z
20,illumina,2,17-04-24T11:50:00Z
24,illumina,1,17-04-24T11:59:00Z
19,illumina,2,17-04-24T12:03:00Z
22,illumina,3,17-04-24T12:08:00Z
23,illumina,2,17-04-24T12:12:00Z
17,illumina,1,17-04-24T12:24:00Z
20,illumina,1,17-04-24T12:37:00Z
19,illumina,1,17-04-24T12:39:00Z
26,illumina,1,17-04-24T12:41:00Z
22,illumina,1,17-04-24T12:49:00Z
20,illumina,2,17-04-24T12:51:00Z
26,illumina,1,17-04-24T13:01:00Z
22,illumina,1,17-04-24T13:02:00Z
23,illumina,1,17-04-24T13:09:00Z
20,illumina,2,17-04-24T13:21:00Z
