,company,count,time
9,intel,132,17-04-24T11:42:00Z
9,intel,66,17-04-24T11:43:00Z
16,intel,72,17-04-24T11:44:00Z
11,intel,68,17-04-24T11:45:00Z
10,intel,87,17-04-24T11:46:00Z
14,intel,93,17-04-24T11:48:00Z
11,intel,83,17-04-24T11:49:00Z
16,intel,76,17-04-24T11:50:00Z
17,intel,77,17-04-24T11:51:00Z
15,intel,43,17-04-24T11:52:00Z
10,intel,128,17-04-24T11:59:00Z
11,intel,66,17-04-24T12:00:00Z
18,intel,72,17-04-24T12:01:00Z
12,intel,78,17-04-24T12:02:00Z
15,intel,80,17-04-24T12:03:00Z
6,intel,63,17-04-24T12:04:00Z
11,intel,57,17-04-24T12:05:00Z
7,intel,65,17-04-24T12:06:00Z
13,intel,67,17-04-24T12:07:00Z
17,intel,102,17-04-24T12:08:00Z
12,intel,83,17-04-24T12:09:00Z
16,intel,82,17-04-24T12:10:00Z
16,intel,64,17-04-24T12:11:00Z
11,intel,81,17-04-24T12:12:00Z
13,intel,75,17-04-24T12:13:00Z
12,intel,69,17-04-24T12:14:00Z
12,intel,76,17-04-24T12:15:00Z
10,intel,83,17-04-24T12:16:00Z
6,intel,86,17-04-24T12:17:00Z
8,intel,96,17-04-24T12:18:00Z
15,intel,73,17-04-24T12:19:00Z
10,intel,77,17-04-24T12:20:00Z
8,intel,78,17-04-24T12:21:00Z
11,intel,66,17-04-24T12:22:00Z
14,intel,85,17-04-24T12:23:00Z
12,intel,67,17-04-24T12:24:00Z
14,intel,85,17-04-24T12:25:00Z
17,intel,62,17-04-24T12:26:00Z
11,intel,78,17-04-24T12:27:00Z
17,intel,59,17-04-24T12:28:00Z
7,intel,73,17-04-24T12:29:00Z
11,intel,72,17-04-24T12:30:00Z
9,intel,95,17-04-24T12:31:00Z
13,intel,77,17-04-24T12:32:00Z
7,intel,71,17-04-24T12:33:00Z
15,intel,54,17-04-24T12:34:00Z
12,intel,92,17-04-24T12:35:00Z
14,intel,75,17-04-24T12:36:00Z
14,intel,79,17-04-24T12:37:00Z
11,intel,62,17-04-24T12:38:00Z
13,intel,68,17-04-24T12:39:00Z
15,intel,67,17-04-24T12:40:00Z
12,intel,72,17-04-24T12:41:00Z
8,intel,81,17-04-24T12:42:00Z
7,intel,77,17-04-24T12:43:00Z
10,intel,83,17-04-24T12:44:00Z
14,intel,71,17-04-24T12:45:00Z
16,intel,75,17-04-24T12:46:00Z
11,intel,84,17-04-24T12:47:00Z
16,intel,64,17-04-24T12:48:00Z
11,intel,72,17-04-24T12:49:00Z
17,intel,57,17-04-24T12:50:00Z
8,intel,53,17-04-24T12:51:00Z
16,intel,57,17-04-24T12:52:00Z
15,intel,66,17-04-24T12:53:00Z
7,intel,59,17-04-24T12:54:00Z
9,intel,58,17-04-24T12:55:00Z
8,intel,54,17-04-24T12:56:00Z
10,intel,60,17-04-24T12:57:00Z
13,intel,56,17-04-24T12:58:00Z
6,intel,65,17-04-24T12:59:00Z
15,intel,89,17-04-24T13:00:00Z
15,intel,88,17-04-24T13:01:00Z
12,intel,87,17-04-24T13:02:00Z
18,intel,91,17-04-24T13:03:00Z
14,intel,68,17-04-24T13:04:00Z
8,intel,126,17-04-24T13:05:00Z
19,intel,108,17-04-24T13:06:00Z
16,intel,97,17-04-24T13:07:00Z
13,intel,112,17-04-24T13:08:00Z
16,intel,102,17-04-24T13:09:00Z
15,intel,75,17-04-24T13:10:00Z
11,intel,99,17-04-24T13:11:00Z
6,intel,81,17-04-24T13:12:00Z
