,company,count,time
19,microsoft,101,17-04-24T11:42:00Z
17,microsoft,36,17-04-24T11:43:00Z
15,microsoft,49,17-04-24T11:44:00Z
15,microsoft,37,17-04-24T11:45:00Z
14,microsoft,55,17-04-24T11:46:00Z
13,microsoft,42,17-04-24T11:48:00Z
15,microsoft,33,17-04-24T11:49:00Z
15,microsoft,30,17-04-24T11:50:00Z
16,microsoft,38,17-04-24T11:51:00Z
14,microsoft,16,17-04-24T11:52:00Z
18,microsoft,69,17-04-24T11:59:00Z
15,microsoft,35,17-04-24T12:00:00Z
17,microsoft,58,17-04-24T12:01:00Z
17,microsoft,75,17-04-24T12:02:00Z
14,microsoft,71,17-04-24T12:03:00Z
12,microsoft,111,17-04-24T12:04:00Z
15,microsoft,91,17-04-24T12:05:00Z
14,microsoft,64,17-04-24T12:06:00Z
12,microsoft,86,17-04-24T12:07:00Z
16,microsoft,105,17-04-24T12:08:00Z
11,microsoft,72,17-04-24T12:09:00Z
15,microsoft,50,17-04-24T12:10:00Z
15,microsoft,66,17-04-24T12:11:00Z
14,microsoft,40,17-04-24T12:12:00Z
12,microsoft,43,17-04-24T12:13:00Z
17,microsoft,50,17-04-24T12:14:00Z
16,microsoft,20,17-04-24T12:15:00Z
19,microsoft,100,17-04-24T12:16:00Z
13,microsoft,58,17-04-24T12:17:00Z
14,microsoft,47,17-04-24T12:18:00Z
14,microsoft,46,17-04-24T12:19:00Z
14,microsoft,40,17-04-24T12:20:00Z
16,microsoft,41,17-04-24T12:21:00Z
15,microsoft,42,17-04-24T12:22:00Z
13,microsoft,42,17-04-24T12:23:00Z
11,microsoft,35,17-04-24T12:24:00Z
13,microsoft,36,17-04-24T12:25:00Z
16,microsoft,54,17-04-24T12:26:00Z
14,microsoft,51,17-04-24T12:27:00Z
16,microsoft,42,17-04-24T12:28:00Z
12,microsoft,32,17-04-24T12:29:00Z
14,microsoft,66,17-04-24T12:30:00Z
16,microsoft,87,17-04-24T12:31:00Z
12,microsoft,83,17-04-24T12:32:00Z
13,microsoft,42,17-04-24T12:33:00Z
14,microsoft,46,17-04-24T12:34:00Z
16,microsoft,48,17-04-24T12:35:00Z
13,microsoft,60,17-04-24T12:36:00Z
13,microsoft,52,17-04-24T12:37:00Z
18,microsoft,78,17-04-24T12:38:00Z
12,microsoft,79,17-04-24T12:39:00Z
14,microsoft,69,17-04-24T12:40:00Z
16,microsoft,44,17-04-24T12:41:00Z
15,microsoft,33,17-04-24T12:42:00Z
15,microsoft,38,17-04-24T12:43:00Z
14,microsoft,41,17-04-24T12:44:00Z
13,microsoft,28,17-04-24T12:45:00Z
15,microsoft,66,17-04-24T12:46:00Z
15,microsoft,40,17-04-24T12:47:00Z
15,microsoft,61,17-04-24T12:48:00Z
15,microsoft,49,17-04-24T12:49:00Z
16,microsoft,60,17-04-24T12:50:00Z
15,microsoft,53,17-04-24T12:51:00Z
15,microsoft,34,17-04-24T12:52:00Z
14,microsoft,18,17-04-24T12:53:00Z
15,microsoft,20,17-04-24T12:54:00Z
12,microsoft,24,17-04-24T12:55:00Z
12,microsoft,20,17-04-24T12:56:00Z
13,microsoft,36,17-04-24T12:57:00Z
12,microsoft,18,17-04-24T12:58:00Z
13,microsoft,27,17-04-24T12:59:00Z
14,microsoft,26,17-04-24T13:00:00Z
14,microsoft,63,17-04-24T13:01:00Z
16,microsoft,40,17-04-24T13:02:00Z
17,microsoft,36,17-04-24T13:03:00Z
18,microsoft,32,17-04-24T13:04:00Z
14,microsoft,35,17-04-24T13:05:00Z
18,microsoft,25,17-04-24T13:06:00Z
15,microsoft,45,17-04-24T13:07:00Z
12,microsoft,36,17-04-24T13:08:00Z
15,microsoft,29,17-04-24T13:09:00Z
14,microsoft,25,17-04-24T13:10:00Z
16,microsoft,38,17-04-24T13:11:00Z
13,microsoft,33,17-04-24T13:12:00Z
12,microsoft,29,17-04-24T13:13:00Z
15,microsoft,41,17-04-24T13:14:00Z
12,microsoft,32,17-04-24T13:15:00Z
15,microsoft,59,17-04-24T13:16:00Z
13,microsoft,44,17-04-24T13:17:00Z
12,microsoft,25,17-04-24T13:18:00Z
16,microsoft,32,17-04-24T13:19:00Z
13,microsoft,36,17-04-24T13:20:00Z
14,microsoft,25,17-04-24T13:21:00Z
13,microsoft,30,17-04-24T13:22:00Z
18,microsoft,37,17-04-24T13:23:00Z
14,microsoft,14,17-04-24T13:24:00Z
17,microsoft,40,17-04-24T13:25:00Z
