,company,count,time
4,netapp,2,17-04-24T11:42:00Z
2,netapp,2,17-04-24T11:43:00Z
3,netapp,3,17-04-24T11:44:00Z
2,netapp,2,17-04-24T11:45:00Z
2,netapp,4,17-04-24T11:46:00Z
2,netapp,1,17-04-24T11:52:00Z
4,netapp,1,17-04-24T11:59:00Z
8,netapp,1,17-04-24T12:02:00Z
6,netapp,1,17-04-24T12:05:00Z
3,netapp,1,17-04-24T12:08:00Z
5,netapp,1,17-04-24T12:10:00Z
3,netapp,1,17-04-24T12:14:00Z
3,netapp,3,17-04-24T12:22:00Z
3,netapp,1,17-04-24T12:26:00Z
6,netapp,1,17-04-24T12:27:00Z
5,netapp,1,17-04-24T12:38:00Z
5,netapp,1,17-04-24T12:46:00Z
3,netapp,1,17-04-24T12:49:00Z
3,netapp,1,17-04-24T12:50:00Z
4,netapp,3,17-04-24T13:02:00Z
3,netapp,2,17-04-24T13:03:00Z
6,netapp,4,17-04-24T13:16:00Z
2,netapp,3,17-04-24T13:17:00Z
5,netapp,2,17-04-24T13:21:00Z
8,netapp,2,17-04-24T13:23:00Z
