,company,count,time
2,tripadvisor,3,17-04-24T11:42:00Z
0,tripadvisor,2,17-04-24T11:43:00Z
2,tripadvisor,1,17-04-24T11:49:00Z
1,tripadvisor,1,17-04-24T11:51:00Z
2,tripadvisor,3,17-04-24T12:00:00Z
3,tripadvisor,2,17-04-24T12:01:00Z
1,tripadvisor,2,17-04-24T12:02:00Z
1,tripadvisor,1,17-04-24T12:03:00Z
0,tripadvisor,2,17-04-24T12:06:00Z
1,tripadvisor,3,17-04-24T12:11:00Z
2,tripadvisor,2,17-04-24T12:15:00Z
2,tripadvisor,2,17-04-24T12:16:00Z
5,tripadvisor,2,17-04-24T12:18:00Z
2,tripadvisor,2,17-04-24T12:21:00Z
1,tripadvisor,1,17-04-24T12:25:00Z
1,tripadvisor,1,17-04-24T12:26:00Z
1,tripadvisor,1,17-04-24T12:27:00Z
6,tripadvisor,1,17-04-24T12:28:00Z
2,tripadvisor,1,17-04-24T12:30:00Z
3,tripadvisor,2,17-04-24T12:31:00Z
4,tripadvisor,1,17-04-24T12:32:00Z
3,tripadvisor,3,17-04-24T12:34:00Z
3,tripadvisor,1,17-04-24T12:38:00Z
4,tripadvisor,2,17-04-24T12:40:00Z
2,tripadvisor,3,17-04-24T12:41:00Z
1,tripadvisor,1,17-04-24T12:43:00Z
1,tripadvisor,1,17-04-24T12:48:00Z
2,tripadvisor,3,17-04-24T12:51:00Z
1,tripadvisor,1,17-04-24T12:52:00Z
4,tripadvisor,1,17-04-24T12:55:00Z
1,tripadvisor,1,17-04-24T13:03:00Z
3,tripadvisor,1,17-04-24T13:04:00Z
2,tripadvisor,1,17-04-24T13:05:00Z
1,tripadvisor,1,17-04-24T13:06:00Z
1,tripadvisor,1,17-04-24T13:08:00Z
2,tripadvisor,1,17-04-24T13:16:00Z
2,tripadvisor,1,17-04-24T13:18:00Z
1,tripadvisor,1,17-04-24T13:22:00Z
1,tripadvisor,1,17-04-24T13:24:00Z
2,tripadvisor,2,17-04-24T13:25:00Z
