,company,count,time
16,vodafone,2,17-04-23T16:36:00Z
15,vodafone,1,17-04-23T16:38:00Z
18,vodafone,3,17-04-23T16:39:00Z
17,vodafone,1,17-04-23T16:40:00Z
18,vodafone,3,17-04-23T16:41:00Z
14,vodafone,3,17-04-23T16:42:00Z
18,vodafone,2,17-04-23T16:43:00Z
15,vodafone,1,17-04-23T16:44:00Z
16,vodafone,1,17-04-23T16:45:00Z
14,vodafone,1,17-04-23T16:46:00Z
11,vodafone,4,17-04-23T16:47:00Z
5,vodafone,1,17-04-23T18:11:00Z
13,vodafone,1,17-04-23T18:46:00Z
12,vodafone,1,17-04-23T18:49:00Z
15,vodafone,2,17-04-23T18:50:30Z
15,vodafone,1,17-04-23T18:52:00Z
15,vodafone,1,17-04-23T18:54:00Z
14,vodafone,2,17-04-23T18:56:00Z
14,vodafone,2,17-04-23T18:57:00Z
18,vodafone,2,17-04-23T18:58:00Z
16,vodafone,2,17-04-23T19:00:00Z
17,vodafone,3,17-04-23T19:01:00Z
15,vodafone,1,17-04-23T19:03:00Z
13,vodafone,1,17-04-23T19:04:00Z
15,vodafone,1,17-04-23T19:05:00Z
17,vodafone,2,17-04-23T19:06:00Z
17,vodafone,1,17-04-23T19:07:00Z
13,vodafone,1,17-04-23T19:09:00Z
14,vodafone,1,17-04-23T19:12:00Z
17,vodafone,3,17-04-23T19:14:00Z
17,vodafone,1,17-04-23T19:16:00Z
15,vodafone,2,17-04-23T19:18:00Z
15,vodafone,1,17-04-23T19:19:00Z
17,vodafone,1,17-04-23T19:20:00Z
18,vodafone,1,17-04-23T19:21:00Z
18,vodafone,1,17-04-23T19:22:00Z
15,vodafone,1,17-04-23T19:24:00Z
15,vodafone,3,17-04-23T19:28:00Z
20,vodafone,1,17-04-23T19:31:00Z
14,vodafone,1,17-04-23T19:33:00Z
17,vodafone,1,17-04-23T19:35:00Z
14,vodafone,1,17-04-23T19:36:00Z
21,vodafone,1,17-04-23T19:38:00Z
18,vodafone,1,17-04-23T19:39:00Z
18,vodafone,1,17-04-23T19:42:00Z
18,vodafone,1,17-04-23T19:43:00Z
17,vodafone,1,17-04-23T19:48:00Z
16,vodafone,1,17-04-23T19:52:00Z
17,vodafone,1,17-04-23T19:53:00Z
17,vodafone,1,17-04-23T20:02:00Z
16,vodafone,1,17-04-23T20:06:00Z
16,vodafone,1,17-04-23T20:08:00Z
14,vodafone,2,17-04-23T20:11:00Z
13,vodafone,2,17-04-23T20:14:00Z
10,vodafone,1,17-04-23T20:21:00Z
14,vodafone,1,17-04-23T20:26:00Z
