,time,price
91,17-04-20T14:20:00Z,131.93
89,17-04-20T14:25:00Z,131.87
45,17-04-20T14:30:00Z,131.76
11,17-04-20T14:35:00Z,131.7376
99,17-04-20T14:40:00Z,131.77
54,17-04-20T14:45:00Z,131.64
90,17-04-20T14:50:00Z,131.62
71,17-04-20T14:55:00Z,131.63
88,17-04-20T15:00:00Z,131.66
69,17-04-20T15:05:00Z,131.6
58,17-04-20T15:10:00Z,131.72
50,17-04-20T15:15:00Z,131.71
5,17-04-20T15:20:00Z,131.62
74,17-04-20T15:25:00Z,131.55
31,17-04-20T15:30:00Z,131.6
49,17-04-20T15:35:00Z,131.56
95,17-04-20T15:40:00Z,131.53
12,17-04-20T15:45:00Z,131.56
39,17-04-20T15:50:00Z,131.57
40,17-04-20T15:55:00Z,131.61
15,17-04-20T16:00:00Z,131.42
37,17-04-21T09:30:00Z,131.88
35,17-04-21T09:35:00Z,131.6
62,17-04-21T09:40:00Z,131.515
92,17-04-21T09:45:00Z,131.4101
1,17-04-21T09:50:00Z,131.28
29,17-04-21T09:55:00Z,131.06
36,17-04-21T10:00:00Z,131.24
33,17-04-21T10:05:00Z,131.26
78,17-04-21T10:10:00Z,131.26
48,17-04-21T10:15:00Z,131.29
85,17-04-21T10:20:00Z,131.34
8,17-04-21T10:25:00Z,131.32
27,17-04-21T10:30:00Z,131.44
56,17-04-21T10:35:00Z,131.39
93,17-04-21T10:40:00Z,131.25
68,17-04-21T10:45:00Z,131.3599
63,17-04-21T10:50:00Z,131.16
60,17-04-21T10:55:00Z,131.235
6,17-04-21T11:00:00Z,131.34
3,17-04-21T11:05:00Z,131.34
4,17-04-21T11:10:00Z,131.41
81,17-04-21T11:15:00Z,131.4
22,17-04-21T11:20:00Z,131.5201
0,17-04-21T11:25:00Z,131.51
23,17-04-21T11:30:00Z,131.52
82,17-04-21T11:35:00Z,131.66
96,17-04-21T11:40:00Z,131.7
7,17-04-21T11:45:00Z,131.796
20,17-04-21T11:50:00Z,131.74
38,17-04-21T11:55:00Z,131.77
77,17-04-21T12:00:00Z,131.82
34,17-04-21T12:05:00Z,131.89
73,17-04-21T12:10:00Z,131.7854
67,17-04-21T12:15:00Z,131.69
24,17-04-21T12:20:00Z,131.71
19,17-04-21T12:25:00Z,131.79
98,17-04-21T12:30:00Z,131.73
41,17-04-21T12:35:00Z,131.78
83,17-04-21T12:40:00Z,131.78
86,17-04-21T12:45:00Z,131.7495
25,17-04-21T12:50:00Z,131.7
43,17-04-21T12:55:00Z,131.68
30,17-04-21T13:00:00Z,131.62
44,17-04-21T13:05:00Z,131.61
57,17-04-21T13:10:00Z,131.59
18,17-04-21T13:15:00Z,131.33
32,17-04-21T13:20:00Z,131.3
55,17-04-21T13:25:00Z,131.3557
64,17-04-21T13:30:00Z,131.32
9,17-04-21T13:35:00Z,131.2832
47,17-04-21T13:40:00Z,131.27
16,17-04-21T13:45:00Z,131.29
80,17-04-21T13:50:00Z,131.29
66,17-04-21T13:55:00Z,131.34
94,17-04-21T14:00:00Z,131.41
75,17-04-21T14:05:00Z,131.37
70,17-04-21T14:10:00Z,131.41
17,17-04-21T14:15:00Z,131.34
51,17-04-21T14:20:00Z,131.27
52,17-04-21T14:25:00Z,131.35
10,17-04-21T14:30:00Z,131.35
13,17-04-21T14:35:00Z,131.38
65,17-04-21T14:40:00Z,131.41
76,17-04-21T14:45:00Z,131.39
87,17-04-21T14:50:00Z,131.37
59,17-04-21T14:55:00Z,131.39
14,17-04-21T15:00:00Z,131.41
42,17-04-21T15:05:00Z,131.37
26,17-04-21T15:10:00Z,131.29
53,17-04-21T15:15:00Z,131.3
97,17-04-21T15:20:00Z,131.3
46,17-04-21T15:25:00Z,131.29
79,17-04-21T15:30:00Z,131.39
61,17-04-21T15:35:00Z,131.37
2,17-04-21T15:40:00Z,131.49
21,17-04-21T15:45:00Z,131.53
72,17-04-21T15:50:00Z,131.6
84,17-04-21T15:55:00Z,131.6
28,17-04-21T16:00:00Z,131.52
