,time,price
75,17-04-24T12:02:00Z,61.41
23,17-04-24T12:03:00Z,61.4
94,17-04-24T12:04:00Z,61.42
16,17-04-24T12:05:00Z,61.42
0,17-04-24T12:06:00Z,61.42
64,17-04-24T12:07:00Z,61.45
2,17-04-24T12:08:00Z,61.4392
87,17-04-24T12:09:00Z,61.43
84,17-04-24T12:10:00Z,61.45
39,17-04-24T12:11:00Z,61.47
79,17-04-24T12:12:00Z,61.5
22,17-04-24T12:13:00Z,61.48
61,17-04-24T12:15:00Z,61.47
76,17-04-24T12:16:00Z,61.45
57,17-04-24T12:17:00Z,61.46
58,17-04-24T12:18:00Z,61.45
93,17-04-24T12:19:00Z,61.46
8,17-04-24T12:20:00Z,61.485
71,17-04-24T12:21:00Z,61.5
80,17-04-24T12:22:00Z,61.495
60,17-04-24T12:23:00Z,61.51
45,17-04-24T12:24:00Z,61.53
11,17-04-24T12:25:00Z,61.51
18,17-04-24T12:26:00Z,61.5
78,17-04-24T12:27:00Z,61.53
49,17-04-24T12:28:00Z,61.52
92,17-04-24T12:29:00Z,61.53
40,17-04-24T12:30:00Z,61.5414
81,17-04-24T12:31:00Z,61.58
73,17-04-24T12:32:00Z,61.58
9,17-04-24T12:33:00Z,61.55
27,17-04-24T12:34:00Z,61.53
41,17-04-24T12:35:00Z,61.54
35,17-04-24T12:36:00Z,61.54
70,17-04-24T12:37:00Z,61.5607
50,17-04-24T12:38:00Z,61.58
34,17-04-24T12:39:00Z,61.59
77,17-04-24T12:40:00Z,61.59
47,17-04-24T12:41:00Z,61.58
91,17-04-24T12:42:00Z,61.59
69,17-04-24T12:43:00Z,61.59
48,17-04-24T12:44:00Z,61.56
44,17-04-24T12:45:00Z,61.56
52,17-04-24T12:46:00Z,61.55
21,17-04-24T12:47:00Z,61.59
20,17-04-24T12:48:00Z,61.59
72,17-04-24T12:49:00Z,61.58
33,17-04-24T12:50:00Z,61.585
53,17-04-24T12:51:00Z,61.56
13,17-04-24T12:52:00Z,61.57
83,17-04-24T12:54:00Z,61.51
19,17-04-24T12:55:00Z,61.515
7,17-04-24T12:56:00Z,61.505
15,17-04-24T12:57:00Z,61.5003
74,17-04-24T12:58:00Z,61.5008
12,17-04-24T12:59:00Z,61.51
90,17-04-24T13:00:00Z,61.52
29,17-04-24T13:01:00Z,61.5
85,17-04-24T13:02:00Z,61.5
26,17-04-24T13:03:00Z,61.49
51,17-04-24T13:04:00Z,61.53
88,17-04-24T13:05:00Z,61.52
67,17-04-24T13:06:00Z,61.53
10,17-04-24T13:07:00Z,61.56
25,17-04-24T13:08:00Z,61.545
55,17-04-24T13:09:00Z,61.56
59,17-04-24T13:10:00Z,61.57
24,17-04-24T13:11:00Z,61.59
65,17-04-24T13:12:00Z,61.61
31,17-04-24T13:13:00Z,61.59
46,17-04-24T13:14:00Z,61.59
3,17-04-24T13:15:00Z,61.58
28,17-04-24T13:16:00Z,61.58
89,17-04-24T13:17:00Z,61.565
63,17-04-24T13:18:00Z,61.53
6,17-04-24T13:19:00Z,61.54
42,17-04-24T13:20:00Z,61.54
86,17-04-24T13:21:00Z,61.54
30,17-04-24T13:22:00Z,61.53
62,17-04-24T13:23:00Z,61.49
56,17-04-24T13:24:00Z,61.5
98,17-04-24T13:25:00Z,61.5167
66,17-04-24T13:26:00Z,61.54
1,17-04-24T13:27:00Z,61.53
95,17-04-24T13:28:00Z,61.52
17,17-04-24T13:29:00Z,61.5277
37,17-04-24T13:30:00Z,61.53
99,17-04-24T13:31:00Z,61.515
5,17-04-24T13:32:00Z,61.52
96,17-04-24T13:34:00Z,61.51
32,17-04-24T13:35:00Z,61.52
82,17-04-24T13:38:00Z,61.52
54,17-04-24T13:39:00Z,61.49
68,17-04-24T13:40:00Z,61.5
36,17-04-24T13:41:00Z,61.49
14,17-04-24T13:42:00Z,61.48
4,17-04-24T13:43:00Z,61.45
38,17-04-24T13:44:00Z,61.46
97,17-04-24T13:46:00Z,61.4599
43,17-04-24T13:47:00Z,61.45
