,time,price
44,17-04-24T09:30:00Z,117.99
64,17-04-24T09:35:00Z,118.325
26,17-04-24T09:40:00Z,118.275
25,17-04-24T09:45:00Z,119.56
49,17-04-24T09:50:00Z,119.03
32,17-04-24T09:55:00Z,118.93
51,17-04-24T10:00:00Z,118.6
36,17-04-24T10:05:00Z,118.85
12,17-04-24T10:10:00Z,119.05
48,17-04-24T10:15:00Z,119.26
42,17-04-24T10:20:00Z,119.633
2,17-04-24T10:25:00Z,119.29
43,17-04-24T10:30:00Z,119.1278
29,17-04-24T10:35:00Z,118.92
4,17-04-24T10:40:00Z,119.11
15,17-04-24T10:45:00Z,119.17
22,17-04-24T10:50:00Z,119.2601
62,17-04-24T10:55:00Z,119.34
1,17-04-24T11:00:00Z,119.51
58,17-04-24T11:05:00Z,119.48
66,17-04-24T11:10:00Z,119.49
14,17-04-24T11:15:00Z,119.42
54,17-04-24T11:20:00Z,119.34
60,17-04-24T11:25:00Z,119.36
34,17-04-24T11:30:00Z,119.1801
46,17-04-24T11:35:00Z,119.305
56,17-04-24T11:40:00Z,119.31
23,17-04-24T11:45:00Z,119.21
55,17-04-24T11:50:00Z,119.255
37,17-04-24T11:55:00Z,119.22
38,17-04-24T12:00:00Z,119.22
8,17-04-24T12:05:00Z,118.99
57,17-04-24T12:10:00Z,119.11
45,17-04-24T12:15:00Z,119.265
6,17-04-24T12:20:00Z,119.18
7,17-04-24T12:25:00Z,119.2
27,17-04-24T12:30:00Z,119.08
28,17-04-24T12:35:00Z,119.02
52,17-04-24T12:40:00Z,119.22
33,17-04-24T12:45:00Z,119.14
18,17-04-24T12:50:00Z,119.185
11,17-04-24T12:55:00Z,119.23
63,17-04-24T13:00:00Z,119.215
61,17-04-24T13:05:00Z,119.21
41,17-04-24T13:10:00Z,119.25
5,17-04-24T13:15:00Z,119.31
30,17-04-24T13:20:00Z,119.2
67,17-04-24T13:25:00Z,119.27
21,17-04-24T13:30:00Z,119.19
16,17-04-24T13:35:00Z,119.26
47,17-04-24T13:40:00Z,119.2682
50,17-04-24T13:45:00Z,119.47
31,17-04-24T13:50:00Z,119.75
20,17-04-24T13:55:00Z,119.93
13,17-04-24T14:00:00Z,120.23
10,17-04-24T14:05:00Z,120.28
35,17-04-24T14:10:00Z,120.4
17,17-04-24T14:15:00Z,120.23
65,17-04-24T14:20:00Z,119.9416
9,17-04-24T14:25:00Z,119.84
53,17-04-24T14:30:00Z,119.92
24,17-04-24T14:35:00Z,120.16
0,17-04-24T14:40:00Z,120.07
3,17-04-24T14:45:00Z,120.09
39,17-04-24T14:50:00Z,119.77
59,17-04-24T14:55:00Z,119.86
19,17-04-24T15:00:00Z,119.54
40,17-04-24T15:05:00Z,119.69
