,time,price
91,17-04-20T14:20:00Z,863.2
89,17-04-20T14:25:00Z,863.31
45,17-04-20T14:30:00Z,863.41
11,17-04-20T14:35:00Z,863.65
99,17-04-20T14:40:00Z,863.6434
54,17-04-20T14:45:00Z,863.35
90,17-04-20T14:50:00Z,863.02
71,17-04-20T14:55:00Z,862.86
88,17-04-20T15:00:00Z,862.76
69,17-04-20T15:05:00Z,862.73
58,17-04-20T15:10:00Z,862.99
50,17-04-20T15:15:00Z,863.45
5,17-04-20T15:20:00Z,862.89
74,17-04-20T15:25:00Z,863.0
31,17-04-20T15:30:00Z,862.49
49,17-04-20T15:35:00Z,862.06
95,17-04-20T15:40:00Z,861.7901
12,17-04-20T15:45:00Z,862.02
39,17-04-20T15:50:00Z,861.33
40,17-04-20T15:55:00Z,861.63
15,17-04-20T16:00:00Z,860.08
37,17-04-21T09:30:00Z,860.62
35,17-04-21T09:35:00Z,861.345
62,17-04-21T09:40:00Z,860.56
92,17-04-21T09:45:00Z,860.39
1,17-04-21T09:50:00Z,859.66
29,17-04-21T09:55:00Z,858.53
36,17-04-21T10:00:00Z,859.71
33,17-04-21T10:05:00Z,859.11
78,17-04-21T10:10:00Z,859.99
48,17-04-21T10:15:00Z,859.685
85,17-04-21T10:20:00Z,860.44
8,17-04-21T10:25:00Z,860.2
27,17-04-21T10:30:00Z,859.8
56,17-04-21T10:35:00Z,859.55
93,17-04-21T10:40:00Z,859.34
68,17-04-21T10:45:00Z,859.54
63,17-04-21T10:50:00Z,859.71
60,17-04-21T10:55:00Z,859.835
6,17-04-21T11:00:00Z,859.4
3,17-04-21T11:05:00Z,858.87
4,17-04-21T11:10:00Z,858.88
81,17-04-21T11:15:00Z,859.25
22,17-04-21T11:20:00Z,859.3
0,17-04-21T11:25:00Z,859.34
23,17-04-21T11:30:00Z,859.965
82,17-04-21T11:35:00Z,860.46
96,17-04-21T11:40:00Z,860.22
7,17-04-21T11:45:00Z,860.45
20,17-04-21T11:50:00Z,860.66
38,17-04-21T11:55:00Z,860.85
77,17-04-21T12:00:00Z,860.83
34,17-04-21T12:05:00Z,860.85
73,17-04-21T12:10:00Z,860.91
67,17-04-21T12:15:00Z,860.42
24,17-04-21T12:20:00Z,860.64
19,17-04-21T12:25:00Z,860.43
98,17-04-21T12:30:00Z,860.42
41,17-04-21T12:35:00Z,860.8
83,17-04-21T12:40:00Z,860.27
86,17-04-21T12:45:00Z,860.5
25,17-04-21T12:50:00Z,860.17
43,17-04-21T12:55:00Z,860.18
30,17-04-21T13:00:00Z,859.88
44,17-04-21T13:05:00Z,860.06
57,17-04-21T13:10:00Z,859.66
18,17-04-21T13:15:00Z,858.07
32,17-04-21T13:20:00Z,858.71
55,17-04-21T13:25:00Z,859.62
64,17-04-21T13:30:00Z,859.52
9,17-04-21T13:35:00Z,859.68
47,17-04-21T13:40:00Z,859.3
16,17-04-21T13:45:00Z,859.73
80,17-04-21T13:50:00Z,859.73
66,17-04-21T13:55:00Z,859.6
94,17-04-21T14:00:00Z,860.51
75,17-04-21T14:05:00Z,859.92
70,17-04-21T14:10:00Z,860.08
17,17-04-21T14:15:00Z,860.44
51,17-04-21T14:20:00Z,859.555
52,17-04-21T14:25:00Z,860.12
10,17-04-21T14:30:00Z,860.2361
13,17-04-21T14:35:00Z,860.04
65,17-04-21T14:40:00Z,860.02
76,17-04-21T14:45:00Z,859.93
87,17-04-21T14:50:00Z,859.48
59,17-04-21T14:55:00Z,859.6
14,17-04-21T15:00:00Z,859.85
42,17-04-21T15:05:00Z,859.33
26,17-04-21T15:10:00Z,859.12
53,17-04-21T15:15:00Z,858.87
97,17-04-21T15:20:00Z,858.875
46,17-04-21T15:25:00Z,858.89
79,17-04-21T15:30:00Z,859.19
61,17-04-21T15:35:00Z,858.84
2,17-04-21T15:40:00Z,859.14
21,17-04-21T15:45:00Z,859.49
72,17-04-21T15:50:00Z,859.3
84,17-04-21T15:55:00Z,859.73
28,17-04-21T16:00:00Z,858.95
