,time,price
44,17-04-24T09:30:00Z,909.0
64,17-04-24T09:35:00Z,906.915
26,17-04-24T09:40:00Z,908.04
25,17-04-24T09:45:00Z,908.085
49,17-04-24T09:50:00Z,907.45
32,17-04-24T09:55:00Z,906.56
51,17-04-24T10:00:00Z,907.8103
36,17-04-24T10:05:00Z,907.54
12,17-04-24T10:10:00Z,906.3
48,17-04-24T10:15:00Z,906.645
42,17-04-24T10:20:00Z,906.3
2,17-04-24T10:25:00Z,907.37
43,17-04-24T10:30:00Z,907.2798
29,17-04-24T10:35:00Z,906.902
4,17-04-24T10:40:00Z,906.85
15,17-04-24T10:45:00Z,906.85
22,17-04-24T10:50:00Z,906.63
62,17-04-24T10:55:00Z,906.43
1,17-04-24T11:00:00Z,906.73
58,17-04-24T11:05:00Z,906.6418
66,17-04-24T11:10:00Z,907.0788
14,17-04-24T11:15:00Z,906.933
54,17-04-24T11:20:00Z,907.66
60,17-04-24T11:25:00Z,907.99
34,17-04-24T11:30:00Z,907.46
46,17-04-24T11:35:00Z,907.45
56,17-04-24T11:40:00Z,908.16
23,17-04-24T11:45:00Z,908.0996
55,17-04-24T11:50:00Z,907.78
37,17-04-24T11:55:00Z,907.91
38,17-04-24T12:00:00Z,907.98
8,17-04-24T12:05:00Z,909.05
57,17-04-24T12:10:00Z,909.01
45,17-04-24T12:15:00Z,909.45
6,17-04-24T12:20:00Z,909.24
7,17-04-24T12:25:00Z,909.02
27,17-04-24T12:30:00Z,908.69
28,17-04-24T12:35:00Z,909.25
52,17-04-24T12:40:00Z,909.21
33,17-04-24T12:45:00Z,908.15
18,17-04-24T12:50:00Z,907.7638
11,17-04-24T12:55:00Z,907.76
63,17-04-24T13:00:00Z,908.0
61,17-04-24T13:05:00Z,908.05
41,17-04-24T13:10:00Z,907.53
5,17-04-24T13:15:00Z,907.46
30,17-04-24T13:20:00Z,907.52
67,17-04-24T13:25:00Z,907.35
21,17-04-24T13:30:00Z,907.42
16,17-04-24T13:35:00Z,907.34
47,17-04-24T13:40:00Z,906.9484
50,17-04-24T13:45:00Z,906.39
31,17-04-24T13:50:00Z,906.4
20,17-04-24T13:55:00Z,906.28
13,17-04-24T14:00:00Z,906.1572
10,17-04-24T14:05:00Z,905.25
35,17-04-24T14:10:00Z,905.05
17,17-04-24T14:15:00Z,904.56
65,17-04-24T14:20:00Z,905.59
9,17-04-24T14:25:00Z,906.1292
53,17-04-24T14:30:00Z,906.02
24,17-04-24T14:35:00Z,906.01
0,17-04-24T14:40:00Z,905.7
3,17-04-24T14:45:00Z,905.865
39,17-04-24T14:50:00Z,905.3211
59,17-04-24T14:55:00Z,905.2
19,17-04-24T15:00:00Z,905.9
40,17-04-24T15:05:00Z,906.36
