,time,price
30,17-04-24T09:30:00Z,45.5
46,17-04-24T09:35:00Z,46.1443
17,17-04-24T09:40:00Z,46.32
16,17-04-24T09:45:00Z,46.3
34,17-04-24T09:50:00Z,46.12
22,17-04-24T09:55:00Z,46.095
15,17-04-24T10:00:00Z,46.23
36,17-04-24T10:05:00Z,46.24
8,17-04-24T10:10:00Z,46.16
33,17-04-24T10:15:00Z,46.16
28,17-04-24T10:20:00Z,46.23
1,17-04-24T10:25:00Z,46.18
29,17-04-24T10:30:00Z,46.16
20,17-04-24T10:35:00Z,46.16
2,17-04-24T10:40:00Z,46.08
10,17-04-24T10:45:00Z,46.11
13,17-04-24T10:50:00Z,46.16
44,17-04-24T10:55:00Z,46.15
0,17-04-24T11:00:00Z,46.175
41,17-04-24T11:05:00Z,46.215
47,17-04-24T11:10:00Z,46.08
9,17-04-24T11:15:00Z,46.045
37,17-04-24T11:20:00Z,46.0
42,17-04-24T11:25:00Z,45.9893
24,17-04-24T11:30:00Z,46.02
32,17-04-24T11:35:00Z,46.07
39,17-04-24T11:40:00Z,46.11
14,17-04-24T11:45:00Z,46.135
38,17-04-24T11:50:00Z,46.19
25,17-04-24T11:55:00Z,46.17
26,17-04-24T12:00:00Z,46.125
6,17-04-24T12:05:00Z,46.195
40,17-04-24T12:10:00Z,46.2
31,17-04-24T12:15:00Z,46.23
4,17-04-24T12:20:00Z,46.25
5,17-04-24T12:25:00Z,46.2335
18,17-04-24T12:30:00Z,46.255
19,17-04-24T12:35:00Z,46.26
35,17-04-24T12:40:00Z,46.251
23,17-04-24T12:45:00Z,46.27
11,17-04-24T12:50:00Z,46.139
7,17-04-24T12:55:00Z,46.165
45,17-04-24T13:00:00Z,46.16
43,17-04-24T13:05:00Z,46.13
27,17-04-24T13:10:00Z,46.14
3,17-04-24T13:15:00Z,46.19
21,17-04-24T13:20:00Z,46.16
48,17-04-24T13:25:00Z,46.18
12,17-04-24T13:30:00Z,46.22
