,time,price
30,17-04-24T09:30:00Z,143.55
46,17-04-24T09:35:00Z,143.18
17,17-04-24T09:40:00Z,143.57
16,17-04-24T09:45:00Z,143.715
34,17-04-24T09:50:00Z,143.95
22,17-04-24T09:55:00Z,143.81
15,17-04-24T10:00:00Z,143.86
36,17-04-24T10:05:00Z,143.78
8,17-04-24T10:10:00Z,143.69
33,17-04-24T10:15:00Z,143.67
28,17-04-24T10:20:00Z,143.76
1,17-04-24T10:25:00Z,143.7699
29,17-04-24T10:30:00Z,143.81
20,17-04-24T10:35:00Z,143.5626
2,17-04-24T10:40:00Z,143.575
10,17-04-24T10:45:00Z,143.56
13,17-04-24T10:50:00Z,143.57
44,17-04-24T10:55:00Z,143.64
0,17-04-24T11:00:00Z,143.58
41,17-04-24T11:05:00Z,143.5437
47,17-04-24T11:10:00Z,143.62
9,17-04-24T11:15:00Z,143.5735
37,17-04-24T11:20:00Z,143.53
42,17-04-24T11:25:00Z,143.5
24,17-04-24T11:30:00Z,143.5
32,17-04-24T11:35:00Z,143.5
39,17-04-24T11:40:00Z,143.57
14,17-04-24T11:45:00Z,143.542
38,17-04-24T11:50:00Z,143.66
25,17-04-24T11:55:00Z,143.58
26,17-04-24T12:00:00Z,143.62
6,17-04-24T12:05:00Z,143.72
40,17-04-24T12:10:00Z,143.74
31,17-04-24T12:15:00Z,143.7699
4,17-04-24T12:20:00Z,143.7762
5,17-04-24T12:25:00Z,143.75
18,17-04-24T12:30:00Z,143.7142
19,17-04-24T12:35:00Z,143.74
35,17-04-24T12:40:00Z,143.77
23,17-04-24T12:45:00Z,143.77
11,17-04-24T12:50:00Z,143.7387
7,17-04-24T12:55:00Z,143.79
45,17-04-24T13:00:00Z,143.78
43,17-04-24T13:05:00Z,143.73
27,17-04-24T13:10:00Z,143.77
3,17-04-24T13:15:00Z,143.77
21,17-04-24T13:20:00Z,143.78
48,17-04-24T13:25:00Z,143.8
12,17-04-24T13:30:00Z,143.7784
