,time,price
44,17-04-24T09:30:00Z,220.69
64,17-04-24T09:35:00Z,220.795
26,17-04-24T09:40:00Z,221.1
25,17-04-24T09:45:00Z,221.22
49,17-04-24T09:50:00Z,221.0
32,17-04-24T09:55:00Z,221.35
51,17-04-24T10:00:00Z,221.8
36,17-04-24T10:05:00Z,221.795
12,17-04-24T10:10:00Z,221.11
48,17-04-24T10:15:00Z,221.125
42,17-04-24T10:20:00Z,221.14
2,17-04-24T10:25:00Z,220.96
43,17-04-24T10:30:00Z,220.71
29,17-04-24T10:35:00Z,220.76
4,17-04-24T10:40:00Z,220.71
15,17-04-24T10:45:00Z,220.636
22,17-04-24T10:50:00Z,220.365
62,17-04-24T10:55:00Z,220.55
1,17-04-24T11:00:00Z,220.67
58,17-04-24T11:05:00Z,220.4742
66,17-04-24T11:10:00Z,220.23
14,17-04-24T11:15:00Z,219.92
54,17-04-24T11:20:00Z,219.73
60,17-04-24T11:25:00Z,219.87
34,17-04-24T11:30:00Z,220.09
46,17-04-24T11:35:00Z,219.9301
56,17-04-24T11:40:00Z,219.87
23,17-04-24T11:45:00Z,219.9
55,17-04-24T11:50:00Z,219.965
37,17-04-24T11:55:00Z,219.84
38,17-04-24T12:00:00Z,219.8475
8,17-04-24T12:05:00Z,220.115
57,17-04-24T12:10:00Z,220.0225
45,17-04-24T12:15:00Z,220.21
6,17-04-24T12:20:00Z,220.29
7,17-04-24T12:25:00Z,220.32
27,17-04-24T12:30:00Z,220.33
28,17-04-24T12:35:00Z,220.22
52,17-04-24T12:40:00Z,220.31
33,17-04-24T12:45:00Z,220.24
18,17-04-24T12:50:00Z,220.29
11,17-04-24T12:55:00Z,220.36
63,17-04-24T13:00:00Z,220.51
61,17-04-24T13:05:00Z,220.495
41,17-04-24T13:10:00Z,220.63
5,17-04-24T13:15:00Z,220.7
30,17-04-24T13:20:00Z,220.67
67,17-04-24T13:25:00Z,220.64
21,17-04-24T13:30:00Z,220.67
16,17-04-24T13:35:00Z,220.81
47,17-04-24T13:40:00Z,220.51
50,17-04-24T13:45:00Z,220.46
31,17-04-24T13:50:00Z,220.54
20,17-04-24T13:55:00Z,220.5688
13,17-04-24T14:00:00Z,220.655
10,17-04-24T14:05:00Z,220.74
35,17-04-24T14:10:00Z,220.92
17,17-04-24T14:15:00Z,220.875
65,17-04-24T14:20:00Z,220.95
9,17-04-24T14:25:00Z,220.92
53,17-04-24T14:30:00Z,220.87
24,17-04-24T14:35:00Z,221.05
0,17-04-24T14:40:00Z,220.97
3,17-04-24T14:45:00Z,221.01
39,17-04-24T14:50:00Z,220.995
59,17-04-24T14:55:00Z,221.009
19,17-04-24T15:00:00Z,221.1
40,17-04-24T15:05:00Z,221.21
