,time,price
17,17-04-24T12:01:00Z,179.755
78,17-04-24T12:02:00Z,179.73
23,17-04-24T12:03:00Z,179.73
94,17-04-24T12:04:00Z,179.84
15,17-04-24T12:05:00Z,179.78
0,17-04-24T12:06:00Z,179.78
2,17-04-24T12:08:00Z,179.75
88,17-04-24T12:09:00Z,179.69
40,17-04-24T12:11:00Z,179.75
82,17-04-24T12:12:00Z,179.7501
22,17-04-24T12:13:00Z,179.7584
29,17-04-24T12:14:00Z,179.78
63,17-04-24T12:15:00Z,179.7
79,17-04-24T12:16:00Z,179.74
58,17-04-24T12:17:00Z,179.73
59,17-04-24T12:18:00Z,179.75
93,17-04-24T12:19:00Z,179.7
72,17-04-24T12:21:00Z,179.72
83,17-04-24T12:22:00Z,179.704
62,17-04-24T12:23:00Z,179.72
10,17-04-24T12:25:00Z,179.775
18,17-04-24T12:26:00Z,179.77
81,17-04-24T12:27:00Z,179.76
50,17-04-24T12:28:00Z,179.79
92,17-04-24T12:29:00Z,179.76
42,17-04-24T12:30:00Z,179.75
84,17-04-24T12:31:00Z,179.8
74,17-04-24T12:32:00Z,179.81
8,17-04-24T12:33:00Z,179.8179
27,17-04-24T12:34:00Z,179.79
43,17-04-24T12:35:00Z,179.83
36,17-04-24T12:36:00Z,179.86
71,17-04-24T12:37:00Z,179.87
51,17-04-24T12:38:00Z,179.9275
35,17-04-24T12:39:00Z,179.87
80,17-04-24T12:40:00Z,179.88
48,17-04-24T12:41:00Z,179.88
91,17-04-24T12:42:00Z,179.86
70,17-04-24T12:43:00Z,179.9
49,17-04-24T12:44:00Z,179.84
46,17-04-24T12:45:00Z,179.85
53,17-04-24T12:46:00Z,179.9
21,17-04-24T12:47:00Z,179.91
20,17-04-24T12:48:00Z,179.86
73,17-04-24T12:49:00Z,179.8275
34,17-04-24T12:50:00Z,179.8706
54,17-04-24T12:51:00Z,179.895
12,17-04-24T12:52:00Z,179.84
41,17-04-24T12:53:00Z,179.87
85,17-04-24T12:54:00Z,179.82
19,17-04-24T12:55:00Z,179.83
7,17-04-24T12:56:00Z,179.75
14,17-04-24T12:57:00Z,179.83
76,17-04-24T12:58:00Z,179.8
11,17-04-24T12:59:00Z,179.8
90,17-04-24T13:00:00Z,179.795
30,17-04-24T13:01:00Z,179.79
86,17-04-24T13:02:00Z,179.795
26,17-04-24T13:03:00Z,179.71
52,17-04-24T13:04:00Z,179.68
89,17-04-24T13:05:00Z,179.7353
9,17-04-24T13:07:00Z,179.7706
25,17-04-24T13:08:00Z,179.75
56,17-04-24T13:09:00Z,179.7731
61,17-04-24T13:10:00Z,179.77
24,17-04-24T13:11:00Z,179.8
66,17-04-24T13:12:00Z,179.8
32,17-04-24T13:13:00Z,179.83
47,17-04-24T13:14:00Z,179.82
3,17-04-24T13:15:00Z,179.81
28,17-04-24T13:16:00Z,179.84
65,17-04-24T13:18:00Z,179.8
6,17-04-24T13:19:00Z,179.82
44,17-04-24T13:20:00Z,179.74
87,17-04-24T13:21:00Z,179.76
31,17-04-24T13:22:00Z,179.795
64,17-04-24T13:23:00Z,179.73
57,17-04-24T13:24:00Z,179.84
98,17-04-24T13:25:00Z,179.88
67,17-04-24T13:26:00Z,179.91
1,17-04-24T13:27:00Z,179.91
95,17-04-24T13:28:00Z,179.8
16,17-04-24T13:29:00Z,179.885
38,17-04-24T13:30:00Z,179.88
99,17-04-24T13:31:00Z,179.86
5,17-04-24T13:32:00Z,179.87
60,17-04-24T13:33:00Z,179.885
96,17-04-24T13:34:00Z,179.76
33,17-04-24T13:35:00Z,179.8
68,17-04-24T13:36:00Z,179.7975
77,17-04-24T13:37:00Z,179.83
55,17-04-24T13:39:00Z,179.835
69,17-04-24T13:40:00Z,179.87
37,17-04-24T13:41:00Z,179.88
13,17-04-24T13:42:00Z,179.86
4,17-04-24T13:43:00Z,179.83
39,17-04-24T13:44:00Z,179.82
75,17-04-24T13:45:00Z,179.9
97,17-04-24T13:46:00Z,179.84
45,17-04-24T13:47:00Z,179.89
