,time,price
30,17-04-24T09:30:00Z,275.0
46,17-04-24T09:35:00Z,275.26
17,17-04-24T09:40:00Z,275.18
16,17-04-24T09:45:00Z,275.49
34,17-04-24T09:50:00Z,275.62
22,17-04-24T09:55:00Z,275.61
15,17-04-24T10:00:00Z,275.835
36,17-04-24T10:05:00Z,275.74
8,17-04-24T10:10:00Z,275.985
33,17-04-24T10:15:00Z,276.33
28,17-04-24T10:20:00Z,276.57
1,17-04-24T10:25:00Z,276.27
29,17-04-24T10:30:00Z,276.74
20,17-04-24T10:35:00Z,276.65
2,17-04-24T10:40:00Z,276.33
10,17-04-24T10:45:00Z,276.56
13,17-04-24T10:50:00Z,276.52
44,17-04-24T10:55:00Z,276.42
0,17-04-24T11:00:00Z,276.25
41,17-04-24T11:05:00Z,275.71
47,17-04-24T11:10:00Z,276.125
9,17-04-24T11:15:00Z,276.3
37,17-04-24T11:20:00Z,276.05
42,17-04-24T11:25:00Z,276.1
24,17-04-24T11:30:00Z,276.04
32,17-04-24T11:35:00Z,275.48
39,17-04-24T11:40:00Z,275.625
14,17-04-24T11:45:00Z,275.47
38,17-04-24T11:50:00Z,275.65
25,17-04-24T11:55:00Z,275.92
26,17-04-24T12:00:00Z,276.0
6,17-04-24T12:05:00Z,276.02
40,17-04-24T12:10:00Z,276.19
31,17-04-24T12:15:00Z,276.33
4,17-04-24T12:20:00Z,276.53
5,17-04-24T12:25:00Z,276.48
18,17-04-24T12:30:00Z,276.46
19,17-04-24T12:35:00Z,276.8
35,17-04-24T12:40:00Z,276.92
23,17-04-24T12:45:00Z,277.08
11,17-04-24T12:50:00Z,277.395
7,17-04-24T12:55:00Z,277.45
45,17-04-24T13:00:00Z,277.53
43,17-04-24T13:05:00Z,277.35
27,17-04-24T13:10:00Z,277.66
3,17-04-24T13:15:00Z,277.86
21,17-04-24T13:20:00Z,277.95
48,17-04-24T13:25:00Z,277.98
12,17-04-24T13:30:00Z,277.84
