,time,price
50,17-04-24T09:30:00Z,90.47
74,17-04-24T09:35:00Z,92.77
30,17-04-24T09:40:00Z,92.69
29,17-04-24T09:45:00Z,93.0
55,17-04-24T09:50:00Z,92.98
36,17-04-24T09:55:00Z,92.205
57,17-04-24T10:00:00Z,92.47
41,17-04-24T10:05:00Z,92.6
13,17-04-24T10:10:00Z,92.865
54,17-04-24T10:15:00Z,92.825
48,17-04-24T10:20:00Z,92.98
2,17-04-24T10:25:00Z,93.08
49,17-04-24T10:30:00Z,93.13
33,17-04-24T10:35:00Z,93.12
4,17-04-24T10:40:00Z,93.09
16,17-04-24T10:45:00Z,93.255
26,17-04-24T10:50:00Z,93.4895
72,17-04-24T10:55:00Z,93.58
1,17-04-24T11:00:00Z,93.69
67,17-04-24T11:05:00Z,94.16
77,17-04-24T11:10:00Z,94.73
15,17-04-24T11:15:00Z,94.76
61,17-04-24T11:20:00Z,94.475
69,17-04-24T11:25:00Z,94.5291
38,17-04-24T11:30:00Z,93.895
52,17-04-24T11:35:00Z,94.03
63,17-04-24T11:40:00Z,94.05
27,17-04-24T11:45:00Z,93.465
62,17-04-24T11:50:00Z,93.97
43,17-04-24T11:55:00Z,93.98
44,17-04-24T12:00:00Z,93.93
9,17-04-24T12:05:00Z,93.82
66,17-04-24T12:10:00Z,94.2
51,17-04-24T12:15:00Z,93.92
7,17-04-24T12:20:00Z,93.94
8,17-04-24T12:25:00Z,94.1184
31,17-04-24T12:30:00Z,94.27
32,17-04-24T12:35:00Z,94.37
58,17-04-24T12:40:00Z,94.19
37,17-04-24T12:45:00Z,94.2572
21,17-04-24T12:50:00Z,94.48
12,17-04-24T12:55:00Z,94.41
73,17-04-24T13:00:00Z,94.5
71,17-04-24T13:05:00Z,94.465
47,17-04-24T13:10:00Z,94.68
5,17-04-24T13:15:00Z,94.78
34,17-04-24T13:20:00Z,94.71
78,17-04-24T13:25:00Z,94.72
25,17-04-24T13:30:00Z,94.41
19,17-04-24T13:35:00Z,94.55
53,17-04-24T13:40:00Z,94.24
56,17-04-24T13:45:00Z,94.15
35,17-04-24T13:50:00Z,94.005
24,17-04-24T13:55:00Z,94.02
14,17-04-24T14:00:00Z,94.0397
11,17-04-24T14:05:00Z,94.035
39,17-04-24T14:10:00Z,93.85
20,17-04-24T14:15:00Z,93.775
75,17-04-24T14:20:00Z,93.95
10,17-04-24T14:25:00Z,93.66
59,17-04-24T14:30:00Z,93.53
28,17-04-24T14:35:00Z,93.93
0,17-04-24T14:40:00Z,93.73
3,17-04-24T14:45:00Z,93.79
45,17-04-24T14:50:00Z,93.69
68,17-04-24T14:55:00Z,93.77
23,17-04-24T15:00:00Z,93.68
46,17-04-24T15:05:00Z,93.76
60,17-04-24T15:10:00Z,93.925
64,17-04-24T15:15:00Z,93.95
18,17-04-24T15:20:00Z,93.91
22,17-04-24T15:25:00Z,93.845
40,17-04-24T15:30:00Z,93.73
65,17-04-24T15:35:00Z,93.75
17,17-04-24T15:40:00Z,93.7
6,17-04-24T15:45:00Z,93.6
76,17-04-24T15:50:00Z,93.49
70,17-04-24T15:55:00Z,93.52
42,17-04-24T16:00:00Z,93.52
