,time,price
50,17-04-24T09:30:00Z,59.37
74,17-04-24T09:35:00Z,59.4137
30,17-04-24T09:40:00Z,59.34
29,17-04-24T09:45:00Z,59.41
55,17-04-24T09:50:00Z,59.32
36,17-04-24T09:55:00Z,59.31
57,17-04-24T10:00:00Z,59.29
41,17-04-24T10:05:00Z,59.31
13,17-04-24T10:10:00Z,59.2
54,17-04-24T10:15:00Z,59.29
48,17-04-24T10:20:00Z,59.33
2,17-04-24T10:25:00Z,59.35
49,17-04-24T10:30:00Z,59.37
33,17-04-24T10:35:00Z,59.34
4,17-04-24T10:40:00Z,59.325
16,17-04-24T10:45:00Z,59.32
26,17-04-24T10:50:00Z,59.36
72,17-04-24T10:55:00Z,59.34
1,17-04-24T11:00:00Z,59.35
67,17-04-24T11:05:00Z,59.337
77,17-04-24T11:10:00Z,59.35
15,17-04-24T11:15:00Z,59.315
61,17-04-24T11:20:00Z,59.26
69,17-04-24T11:25:00Z,59.1966
38,17-04-24T11:30:00Z,59.25
52,17-04-24T11:35:00Z,59.33
63,17-04-24T11:40:00Z,59.4
27,17-04-24T11:45:00Z,59.41
62,17-04-24T11:50:00Z,59.38
43,17-04-24T11:55:00Z,59.33
44,17-04-24T12:00:00Z,59.36
9,17-04-24T12:05:00Z,59.38
66,17-04-24T12:10:00Z,59.385
51,17-04-24T12:15:00Z,59.34
7,17-04-24T12:20:00Z,59.33
8,17-04-24T12:25:00Z,59.347
31,17-04-24T12:30:00Z,59.35
32,17-04-24T12:35:00Z,59.35
58,17-04-24T12:40:00Z,59.35
37,17-04-24T12:45:00Z,59.29
21,17-04-24T12:50:00Z,59.305
12,17-04-24T12:55:00Z,59.3299
73,17-04-24T13:00:00Z,59.31
71,17-04-24T13:05:00Z,59.35
47,17-04-24T13:10:00Z,59.29
5,17-04-24T13:15:00Z,59.34
34,17-04-24T13:20:00Z,59.34
78,17-04-24T13:25:00Z,59.34
25,17-04-24T13:30:00Z,59.32
19,17-04-24T13:35:00Z,59.33
53,17-04-24T13:40:00Z,59.295
56,17-04-24T13:45:00Z,59.28
35,17-04-24T13:50:00Z,59.25
24,17-04-24T13:55:00Z,59.22
14,17-04-24T14:00:00Z,59.27
11,17-04-24T14:05:00Z,59.299
39,17-04-24T14:10:00Z,59.23
20,17-04-24T14:15:00Z,59.26
75,17-04-24T14:20:00Z,59.32
10,17-04-24T14:25:00Z,59.285
59,17-04-24T14:30:00Z,59.25
28,17-04-24T14:35:00Z,59.27
0,17-04-24T14:40:00Z,59.245
3,17-04-24T14:45:00Z,59.265
45,17-04-24T14:50:00Z,59.215
68,17-04-24T14:55:00Z,59.19
23,17-04-24T15:00:00Z,59.27
46,17-04-24T15:05:00Z,59.3
60,17-04-24T15:10:00Z,59.325
64,17-04-24T15:15:00Z,59.235
18,17-04-24T15:20:00Z,59.29
22,17-04-24T15:25:00Z,59.32
40,17-04-24T15:30:00Z,59.355
65,17-04-24T15:35:00Z,59.415
17,17-04-24T15:40:00Z,59.34
6,17-04-24T15:45:00Z,59.31
76,17-04-24T15:50:00Z,59.31
70,17-04-24T15:55:00Z,59.32
42,17-04-24T16:00:00Z,59.29
