,time,price
44,17-04-24T09:30:00Z,29.115
64,17-04-24T09:35:00Z,29.0
26,17-04-24T09:40:00Z,29.095
25,17-04-24T09:45:00Z,29.02
49,17-04-24T09:50:00Z,29.1
32,17-04-24T09:55:00Z,29.08
51,17-04-24T10:00:00Z,29.06
36,17-04-24T10:05:00Z,29.15
12,17-04-24T10:10:00Z,29.065
48,17-04-24T10:15:00Z,29.05
42,17-04-24T10:20:00Z,29.045
2,17-04-24T10:25:00Z,28.99
43,17-04-24T10:30:00Z,29.0058
29,17-04-24T10:35:00Z,28.95
4,17-04-24T10:40:00Z,28.92
15,17-04-24T10:45:00Z,28.975
22,17-04-24T10:50:00Z,28.99
62,17-04-24T10:55:00Z,28.96
1,17-04-24T11:00:00Z,28.975
58,17-04-24T11:05:00Z,28.92
66,17-04-24T11:10:00Z,28.945
14,17-04-24T11:15:00Z,28.945
54,17-04-24T11:20:00Z,28.93
60,17-04-24T11:25:00Z,28.965
34,17-04-24T11:30:00Z,28.99
46,17-04-24T11:35:00Z,28.97
56,17-04-24T11:40:00Z,28.985
23,17-04-24T11:45:00Z,28.995
55,17-04-24T11:50:00Z,28.97
37,17-04-24T11:55:00Z,28.96
38,17-04-24T12:00:00Z,28.96
8,17-04-24T12:05:00Z,28.97
57,17-04-24T12:10:00Z,28.95
45,17-04-24T12:15:00Z,28.93
6,17-04-24T12:20:00Z,28.91
7,17-04-24T12:25:00Z,28.91
27,17-04-24T12:30:00Z,28.91
28,17-04-24T12:35:00Z,28.91
52,17-04-24T12:40:00Z,28.91
33,17-04-24T12:45:00Z,28.915
18,17-04-24T12:50:00Z,28.93
11,17-04-24T12:55:00Z,28.94
63,17-04-24T13:00:00Z,28.94
61,17-04-24T13:05:00Z,28.905
41,17-04-24T13:10:00Z,28.9
5,17-04-24T13:15:00Z,28.94
30,17-04-24T13:20:00Z,28.915
67,17-04-24T13:25:00Z,28.88
21,17-04-24T13:30:00Z,28.915
16,17-04-24T13:35:00Z,28.89
47,17-04-24T13:40:00Z,28.87
50,17-04-24T13:45:00Z,28.89
31,17-04-24T13:50:00Z,28.8683
20,17-04-24T13:55:00Z,28.86
13,17-04-24T14:00:00Z,28.86
10,17-04-24T14:05:00Z,28.82
35,17-04-24T14:10:00Z,28.83
17,17-04-24T14:15:00Z,28.82
65,17-04-24T14:20:00Z,28.8607
9,17-04-24T14:25:00Z,28.885
53,17-04-24T14:30:00Z,28.85
24,17-04-24T14:35:00Z,28.86
0,17-04-24T14:40:00Z,28.875
3,17-04-24T14:45:00Z,28.89
39,17-04-24T14:50:00Z,28.885
59,17-04-24T14:55:00Z,28.89
19,17-04-24T15:00:00Z,28.88
40,17-04-24T15:05:00Z,28.9
