,time,price
91,17-04-20T14:20:00Z,60.06
89,17-04-20T14:25:00Z,60.1
45,17-04-20T14:30:00Z,60.12
11,17-04-20T14:35:00Z,60.25
99,17-04-20T14:40:00Z,60.28
54,17-04-20T14:45:00Z,60.12
90,17-04-20T14:50:00Z,60.2
71,17-04-20T14:55:00Z,60.145
88,17-04-20T15:00:00Z,60.12
69,17-04-20T15:05:00Z,60.1
58,17-04-20T15:10:00Z,60.1
50,17-04-20T15:15:00Z,60.105
5,17-04-20T15:20:00Z,60.035
74,17-04-20T15:25:00Z,60.02
31,17-04-20T15:30:00Z,60.05
49,17-04-20T15:35:00Z,60.06
95,17-04-20T15:40:00Z,60.02
12,17-04-20T15:45:00Z,59.99
39,17-04-20T15:50:00Z,59.96
40,17-04-20T15:55:00Z,59.94
15,17-04-20T16:00:00Z,59.84
37,17-04-21T09:30:00Z,59.81
35,17-04-21T09:35:00Z,59.89
62,17-04-21T09:40:00Z,59.8732
92,17-04-21T09:45:00Z,59.99
1,17-04-21T09:50:00Z,60.045
29,17-04-21T09:55:00Z,60.005
36,17-04-21T10:00:00Z,60.06
33,17-04-21T10:05:00Z,60.05
78,17-04-21T10:10:00Z,60.07
48,17-04-21T10:15:00Z,60.14
85,17-04-21T10:20:00Z,60.25
8,17-04-21T10:25:00Z,60.25
27,17-04-21T10:30:00Z,60.22
56,17-04-21T10:35:00Z,60.11
93,17-04-21T10:40:00Z,59.995
68,17-04-21T10:45:00Z,59.98
63,17-04-21T10:50:00Z,59.98
60,17-04-21T10:55:00Z,60.03
6,17-04-21T11:00:00Z,60.005
3,17-04-21T11:05:00Z,60.05
4,17-04-21T11:10:00Z,60.05
81,17-04-21T11:15:00Z,59.89
22,17-04-21T11:20:00Z,59.99
0,17-04-21T11:25:00Z,60.06
23,17-04-21T11:30:00Z,60.08
82,17-04-21T11:35:00Z,60.06
96,17-04-21T11:40:00Z,60.2
7,17-04-21T11:45:00Z,60.15
20,17-04-21T11:50:00Z,60.12
38,17-04-21T11:55:00Z,60.14
77,17-04-21T12:00:00Z,60.13
34,17-04-21T12:05:00Z,60.15
73,17-04-21T12:10:00Z,60.13
67,17-04-21T12:15:00Z,60.08
24,17-04-21T12:20:00Z,60.17
19,17-04-21T12:25:00Z,60.12
98,17-04-21T12:30:00Z,60.08
41,17-04-21T12:35:00Z,60.14
83,17-04-21T12:40:00Z,60.14
86,17-04-21T12:45:00Z,60.14
25,17-04-21T12:50:00Z,60.165
43,17-04-21T12:55:00Z,60.1492
30,17-04-21T13:00:00Z,60.145
44,17-04-21T13:05:00Z,60.07
57,17-04-21T13:10:00Z,60.0
18,17-04-21T13:15:00Z,59.94
32,17-04-21T13:20:00Z,59.93
55,17-04-21T13:25:00Z,59.99
64,17-04-21T13:30:00Z,59.97
9,17-04-21T13:35:00Z,59.9482
47,17-04-21T13:40:00Z,59.9
16,17-04-21T13:45:00Z,59.92
80,17-04-21T13:50:00Z,59.885
66,17-04-21T13:55:00Z,59.84
94,17-04-21T14:00:00Z,59.98
75,17-04-21T14:05:00Z,60.0
70,17-04-21T14:10:00Z,59.94
17,17-04-21T14:15:00Z,59.91
51,17-04-21T14:20:00Z,59.84
52,17-04-21T14:25:00Z,59.865
10,17-04-21T14:30:00Z,59.871
13,17-04-21T14:35:00Z,59.96
65,17-04-21T14:40:00Z,59.97
76,17-04-21T14:45:00Z,59.94
87,17-04-21T14:50:00Z,59.86
59,17-04-21T14:55:00Z,59.84
14,17-04-21T15:00:00Z,59.8
42,17-04-21T15:05:00Z,59.665
26,17-04-21T15:10:00Z,59.54
53,17-04-21T15:15:00Z,59.54
97,17-04-21T15:20:00Z,59.6
46,17-04-21T15:25:00Z,59.545
79,17-04-21T15:30:00Z,59.64
61,17-04-21T15:35:00Z,59.62
2,17-04-21T15:40:00Z,59.65
21,17-04-21T15:45:00Z,59.67
72,17-04-21T15:50:00Z,59.6
84,17-04-21T15:55:00Z,59.63
28,17-04-21T16:00:00Z,59.61
