,time,price
30,17-04-24T09:30:00Z,80.5
46,17-04-24T09:35:00Z,80.36
17,17-04-24T09:40:00Z,80.245
16,17-04-24T09:45:00Z,80.13
34,17-04-24T09:50:00Z,80.13
22,17-04-24T09:55:00Z,80.12
15,17-04-24T10:00:00Z,79.97
36,17-04-24T10:05:00Z,80.04
8,17-04-24T10:10:00Z,80.07
33,17-04-24T10:15:00Z,79.95
28,17-04-24T10:20:00Z,80.07
1,17-04-24T10:25:00Z,79.96
29,17-04-24T10:30:00Z,79.99
20,17-04-24T10:35:00Z,79.86
2,17-04-24T10:40:00Z,79.68
10,17-04-24T10:45:00Z,79.74
13,17-04-24T10:50:00Z,79.65
44,17-04-24T10:55:00Z,79.67
0,17-04-24T11:00:00Z,79.77
41,17-04-24T11:05:00Z,79.82
47,17-04-24T11:10:00Z,79.85
9,17-04-24T11:15:00Z,79.79
37,17-04-24T11:20:00Z,79.68
42,17-04-24T11:25:00Z,79.5
24,17-04-24T11:30:00Z,79.75
32,17-04-24T11:35:00Z,79.82
39,17-04-24T11:40:00Z,79.81
14,17-04-24T11:45:00Z,79.71
38,17-04-24T11:50:00Z,79.65
25,17-04-24T11:55:00Z,79.61
26,17-04-24T12:00:00Z,79.69
6,17-04-24T12:05:00Z,79.675
40,17-04-24T12:10:00Z,79.56
31,17-04-24T12:15:00Z,79.55
4,17-04-24T12:20:00Z,79.63
5,17-04-24T12:25:00Z,79.68
18,17-04-24T12:30:00Z,79.6537
19,17-04-24T12:35:00Z,79.73
35,17-04-24T12:40:00Z,79.755
23,17-04-24T12:45:00Z,79.75
11,17-04-24T12:50:00Z,79.73
7,17-04-24T12:55:00Z,79.73
45,17-04-24T13:00:00Z,79.76
43,17-04-24T13:05:00Z,79.7
27,17-04-24T13:10:00Z,79.7053
3,17-04-24T13:15:00Z,79.8
21,17-04-24T13:20:00Z,79.7881
48,17-04-24T13:25:00Z,79.67
12,17-04-24T13:30:00Z,79.68
