,time,price
44,17-04-24T09:30:00Z,92.86
64,17-04-24T09:35:00Z,92.83
26,17-04-24T09:40:00Z,92.8
25,17-04-24T09:45:00Z,92.64
49,17-04-24T09:50:00Z,92.65
32,17-04-24T09:55:00Z,92.595
51,17-04-24T10:00:00Z,92.73
36,17-04-24T10:05:00Z,92.78
12,17-04-24T10:10:00Z,92.57
48,17-04-24T10:15:00Z,92.75
42,17-04-24T10:20:00Z,92.735
2,17-04-24T10:25:00Z,92.73
43,17-04-24T10:30:00Z,92.725
29,17-04-24T10:35:00Z,92.76
4,17-04-24T10:40:00Z,92.71
15,17-04-24T10:45:00Z,92.725
22,17-04-24T10:50:00Z,92.72
62,17-04-24T10:55:00Z,92.66
1,17-04-24T11:00:00Z,92.68
58,17-04-24T11:05:00Z,92.68
66,17-04-24T11:10:00Z,92.7
14,17-04-24T11:15:00Z,92.61
54,17-04-24T11:20:00Z,92.61
60,17-04-24T11:25:00Z,92.63
34,17-04-24T11:30:00Z,92.67
46,17-04-24T11:35:00Z,92.68
56,17-04-24T11:40:00Z,92.735
23,17-04-24T11:45:00Z,92.7246
55,17-04-24T11:50:00Z,92.65
37,17-04-24T11:55:00Z,92.61
38,17-04-24T12:00:00Z,92.62
8,17-04-24T12:05:00Z,92.66
57,17-04-24T12:10:00Z,92.67
45,17-04-24T12:15:00Z,92.71
6,17-04-24T12:20:00Z,92.705
7,17-04-24T12:25:00Z,92.685
27,17-04-24T12:30:00Z,92.685
28,17-04-24T12:35:00Z,92.7
52,17-04-24T12:40:00Z,92.69
33,17-04-24T12:45:00Z,92.67
18,17-04-24T12:50:00Z,92.68
11,17-04-24T12:55:00Z,92.67
63,17-04-24T13:00:00Z,92.7
61,17-04-24T13:05:00Z,92.69
41,17-04-24T13:10:00Z,92.71
5,17-04-24T13:15:00Z,92.75
30,17-04-24T13:20:00Z,92.77
67,17-04-24T13:25:00Z,92.725
21,17-04-24T13:30:00Z,92.71
16,17-04-24T13:35:00Z,92.77
47,17-04-24T13:40:00Z,92.8
50,17-04-24T13:45:00Z,92.79
31,17-04-24T13:50:00Z,92.82
20,17-04-24T13:55:00Z,92.75
13,17-04-24T14:00:00Z,92.76
10,17-04-24T14:05:00Z,92.75
35,17-04-24T14:10:00Z,92.76
17,17-04-24T14:15:00Z,92.72
65,17-04-24T14:20:00Z,92.74
9,17-04-24T14:25:00Z,92.7755
53,17-04-24T14:30:00Z,92.79
24,17-04-24T14:35:00Z,92.73
0,17-04-24T14:40:00Z,92.76
3,17-04-24T14:45:00Z,92.81
39,17-04-24T14:50:00Z,92.84
59,17-04-24T14:55:00Z,92.85
19,17-04-24T15:00:00Z,92.93
40,17-04-24T15:05:00Z,92.99
