,time,price
50,17-04-24T09:30:00Z,57.0
74,17-04-24T09:35:00Z,56.93
30,17-04-24T09:40:00Z,57.09
29,17-04-24T09:45:00Z,56.99
55,17-04-24T09:50:00Z,57.01
36,17-04-24T09:55:00Z,57.0
57,17-04-24T10:00:00Z,56.97
41,17-04-24T10:05:00Z,56.85
13,17-04-24T10:10:00Z,56.88
54,17-04-24T10:15:00Z,56.88
48,17-04-24T10:20:00Z,56.915
2,17-04-24T10:25:00Z,56.96
49,17-04-24T10:30:00Z,56.995
33,17-04-24T10:35:00Z,56.87
4,17-04-24T10:40:00Z,56.8
16,17-04-24T10:45:00Z,56.8
26,17-04-24T10:50:00Z,56.83
72,17-04-24T10:55:00Z,56.86
1,17-04-24T11:00:00Z,56.87
67,17-04-24T11:05:00Z,56.81
77,17-04-24T11:10:00Z,56.79
15,17-04-24T11:15:00Z,56.72
61,17-04-24T11:20:00Z,56.67
69,17-04-24T11:25:00Z,56.66
38,17-04-24T11:30:00Z,56.71
52,17-04-24T11:35:00Z,56.72
63,17-04-24T11:40:00Z,56.75
27,17-04-24T11:45:00Z,56.85
62,17-04-24T11:50:00Z,56.83
43,17-04-24T11:55:00Z,56.83
44,17-04-24T12:00:00Z,56.77
9,17-04-24T12:05:00Z,56.82
66,17-04-24T12:10:00Z,56.83
51,17-04-24T12:15:00Z,56.92
7,17-04-24T12:20:00Z,56.92
8,17-04-24T12:25:00Z,56.975
31,17-04-24T12:30:00Z,56.96
32,17-04-24T12:35:00Z,56.96
58,17-04-24T12:40:00Z,56.98
37,17-04-24T12:45:00Z,57.01
21,17-04-24T12:50:00Z,56.94
12,17-04-24T12:55:00Z,57.01
73,17-04-24T13:00:00Z,57.01
71,17-04-24T13:05:00Z,56.99
47,17-04-24T13:10:00Z,56.9966
5,17-04-24T13:15:00Z,57.06
34,17-04-24T13:20:00Z,57.085
78,17-04-24T13:25:00Z,57.09
25,17-04-24T13:30:00Z,57.13
19,17-04-24T13:35:00Z,57.135
53,17-04-24T13:40:00Z,57.15
56,17-04-24T13:45:00Z,57.09
35,17-04-24T13:50:00Z,57.06
24,17-04-24T13:55:00Z,57.11
14,17-04-24T14:00:00Z,57.19
11,17-04-24T14:05:00Z,57.21
39,17-04-24T14:10:00Z,57.19
20,17-04-24T14:15:00Z,57.2
75,17-04-24T14:20:00Z,57.27
10,17-04-24T14:25:00Z,57.285
59,17-04-24T14:30:00Z,57.3
28,17-04-24T14:35:00Z,57.32
0,17-04-24T14:40:00Z,57.31
3,17-04-24T14:45:00Z,57.31
45,17-04-24T14:50:00Z,57.25
68,17-04-24T14:55:00Z,57.27
23,17-04-24T15:00:00Z,57.305
46,17-04-24T15:05:00Z,57.37
60,17-04-24T15:10:00Z,57.435
64,17-04-24T15:15:00Z,57.46
18,17-04-24T15:20:00Z,57.415
22,17-04-24T15:25:00Z,57.4
40,17-04-24T15:30:00Z,57.42
65,17-04-24T15:35:00Z,57.37
17,17-04-24T15:40:00Z,57.365
6,17-04-24T15:45:00Z,57.29
76,17-04-24T15:50:00Z,57.24
70,17-04-24T15:55:00Z,57.26
42,17-04-24T16:00:00Z,57.28
