,time,price
44,17-04-24T09:30:00Z,119.59
64,17-04-24T09:35:00Z,119.2898
26,17-04-24T09:40:00Z,119.33
25,17-04-24T09:45:00Z,119.61
49,17-04-24T09:50:00Z,119.41
32,17-04-24T09:55:00Z,119.32
51,17-04-24T10:00:00Z,119.04
36,17-04-24T10:05:00Z,119.085
12,17-04-24T10:10:00Z,119.16
48,17-04-24T10:15:00Z,119.29
42,17-04-24T10:20:00Z,119.4
2,17-04-24T10:25:00Z,119.42
43,17-04-24T10:30:00Z,119.45
29,17-04-24T10:35:00Z,119.2
4,17-04-24T10:40:00Z,119.25
15,17-04-24T10:45:00Z,119.27
22,17-04-24T10:50:00Z,119.38
62,17-04-24T10:55:00Z,119.38
1,17-04-24T11:00:00Z,119.34
58,17-04-24T11:05:00Z,119.29
66,17-04-24T11:10:00Z,119.23
14,17-04-24T11:15:00Z,119.08
54,17-04-24T11:20:00Z,119.05
60,17-04-24T11:25:00Z,119.17
34,17-04-24T11:30:00Z,119.25
46,17-04-24T11:35:00Z,119.2029
56,17-04-24T11:40:00Z,119.16
23,17-04-24T11:45:00Z,119.21
55,17-04-24T11:50:00Z,119.154
37,17-04-24T11:55:00Z,119.17
38,17-04-24T12:00:00Z,119.09
8,17-04-24T12:05:00Z,119.07
57,17-04-24T12:10:00Z,119.08
45,17-04-24T12:15:00Z,119.095
6,17-04-24T12:20:00Z,119.1
7,17-04-24T12:25:00Z,119.04
27,17-04-24T12:30:00Z,118.96
28,17-04-24T12:35:00Z,119.0
52,17-04-24T12:40:00Z,119.03
33,17-04-24T12:45:00Z,119.01
18,17-04-24T12:50:00Z,119.02
11,17-04-24T12:55:00Z,118.99
63,17-04-24T13:00:00Z,118.96
61,17-04-24T13:05:00Z,118.95
41,17-04-24T13:10:00Z,118.98
5,17-04-24T13:15:00Z,118.98
30,17-04-24T13:20:00Z,119.05
67,17-04-24T13:25:00Z,119.06
21,17-04-24T13:30:00Z,118.9994
16,17-04-24T13:35:00Z,119.09
47,17-04-24T13:40:00Z,119.13
50,17-04-24T13:45:00Z,119.12
31,17-04-24T13:50:00Z,119.11
20,17-04-24T13:55:00Z,119.07
13,17-04-24T14:00:00Z,119.11
10,17-04-24T14:05:00Z,119.09
35,17-04-24T14:10:00Z,119.08
17,17-04-24T14:15:00Z,119.12
65,17-04-24T14:20:00Z,119.14
9,17-04-24T14:25:00Z,119.13
53,17-04-24T14:30:00Z,119.16
24,17-04-24T14:35:00Z,119.21
0,17-04-24T14:40:00Z,119.23
3,17-04-24T14:45:00Z,119.209
39,17-04-24T14:50:00Z,119.17
59,17-04-24T14:55:00Z,119.22
19,17-04-24T15:00:00Z,119.24
40,17-04-24T15:05:00Z,119.3
