,time,price
50,17-04-24T09:30:00Z,66.45
74,17-04-24T09:35:00Z,66.27
30,17-04-24T09:40:00Z,66.36
29,17-04-24T09:45:00Z,66.2525
55,17-04-24T09:50:00Z,66.2
36,17-04-24T09:55:00Z,66.0
57,17-04-24T10:00:00Z,66.1199
41,17-04-24T10:05:00Z,66.2
13,17-04-24T10:10:00Z,66.19
54,17-04-24T10:15:00Z,66.0847
48,17-04-24T10:20:00Z,66.075
2,17-04-24T10:25:00Z,66.08
49,17-04-24T10:30:00Z,66.08
33,17-04-24T10:35:00Z,66.0136
4,17-04-24T10:40:00Z,65.95
16,17-04-24T10:45:00Z,65.89
26,17-04-24T10:50:00Z,65.89
72,17-04-24T10:55:00Z,65.74
1,17-04-24T11:00:00Z,65.79
67,17-04-24T11:05:00Z,65.9
77,17-04-24T11:10:00Z,65.97
15,17-04-24T11:15:00Z,65.95
61,17-04-24T11:20:00Z,65.86
69,17-04-24T11:25:00Z,65.975
38,17-04-24T11:30:00Z,66.04
52,17-04-24T11:35:00Z,66.12
63,17-04-24T11:40:00Z,66.215
27,17-04-24T11:45:00Z,66.11
62,17-04-24T11:50:00Z,66.095
43,17-04-24T11:55:00Z,66.1749
44,17-04-24T12:00:00Z,66.2
9,17-04-24T12:05:00Z,66.185
66,17-04-24T12:10:00Z,66.22
51,17-04-24T12:15:00Z,66.27
7,17-04-24T12:20:00Z,66.235
8,17-04-24T12:25:00Z,66.205
31,17-04-24T12:30:00Z,66.1755
32,17-04-24T12:35:00Z,66.22
58,17-04-24T12:40:00Z,66.17
37,17-04-24T12:45:00Z,66.14
21,17-04-24T12:50:00Z,66.134
12,17-04-24T12:55:00Z,66.21
73,17-04-24T13:00:00Z,66.22
71,17-04-24T13:05:00Z,66.2071
47,17-04-24T13:10:00Z,66.23
5,17-04-24T13:15:00Z,66.21
34,17-04-24T13:20:00Z,66.19
78,17-04-24T13:25:00Z,66.19
25,17-04-24T13:30:00Z,66.24
19,17-04-24T13:35:00Z,66.3
53,17-04-24T13:40:00Z,66.2737
56,17-04-24T13:45:00Z,66.33
35,17-04-24T13:50:00Z,66.33
24,17-04-24T13:55:00Z,66.335
14,17-04-24T14:00:00Z,66.301
11,17-04-24T14:05:00Z,66.29
39,17-04-24T14:10:00Z,66.3
20,17-04-24T14:15:00Z,66.25
75,17-04-24T14:20:00Z,66.245
10,17-04-24T14:25:00Z,66.22
59,17-04-24T14:30:00Z,66.19
28,17-04-24T14:35:00Z,66.18
0,17-04-24T14:40:00Z,66.165
3,17-04-24T14:45:00Z,66.23
45,17-04-24T14:50:00Z,66.18
68,17-04-24T14:55:00Z,66.2054
23,17-04-24T15:00:00Z,66.21
46,17-04-24T15:05:00Z,66.26
60,17-04-24T15:10:00Z,66.295
64,17-04-24T15:15:00Z,66.33
18,17-04-24T15:20:00Z,66.34
22,17-04-24T15:25:00Z,66.315
40,17-04-24T15:30:00Z,66.26
65,17-04-24T15:35:00Z,66.255
17,17-04-24T15:40:00Z,66.27
6,17-04-24T15:45:00Z,66.26
76,17-04-24T15:50:00Z,66.255
70,17-04-24T15:55:00Z,66.22
42,17-04-24T16:00:00Z,66.25
