,time,price
83,17-04-24T11:50:00Z,178.25
10,17-04-24T11:51:00Z,178.38
75,17-04-24T11:52:00Z,178.42
34,17-04-24T11:53:00Z,178.43
91,17-04-24T11:54:00Z,178.47
53,17-04-24T11:55:00Z,178.56
12,17-04-24T11:56:00Z,178.61
18,17-04-24T11:57:00Z,178.52
40,17-04-24T11:59:00Z,178.51
57,17-04-24T12:00:00Z,178.65
17,17-04-24T12:01:00Z,178.685
24,17-04-24T12:03:00Z,178.86
95,17-04-24T12:04:00Z,178.705
15,17-04-24T12:05:00Z,178.63
0,17-04-24T12:06:00Z,178.24
65,17-04-24T12:07:00Z,178.375
2,17-04-24T12:08:00Z,178.47
88,17-04-24T12:09:00Z,178.66
86,17-04-24T12:10:00Z,178.61
81,17-04-24T12:12:00Z,178.5701
23,17-04-24T12:13:00Z,178.89
30,17-04-24T12:14:00Z,178.8
62,17-04-24T12:15:00Z,178.7378
78,17-04-24T12:16:00Z,178.82
59,17-04-24T12:17:00Z,178.89
94,17-04-24T12:19:00Z,179.0
82,17-04-24T12:22:00Z,178.93
19,17-04-24T12:26:00Z,178.93
80,17-04-24T12:27:00Z,179.22
93,17-04-24T12:29:00Z,179.1
42,17-04-24T12:30:00Z,179.09
84,17-04-24T12:31:00Z,179.02
74,17-04-24T12:32:00Z,179.13
7,17-04-24T12:33:00Z,179.2
28,17-04-24T12:34:00Z,179.23
43,17-04-24T12:35:00Z,179.09
37,17-04-24T12:36:00Z,179.31
72,17-04-24T12:37:00Z,179.315
50,17-04-24T12:38:00Z,179.325
36,17-04-24T12:39:00Z,179.24
79,17-04-24T12:40:00Z,179.14
48,17-04-24T12:41:00Z,179.21
92,17-04-24T12:42:00Z,179.205
71,17-04-24T12:43:00Z,179.31
49,17-04-24T12:44:00Z,179.11
46,17-04-24T12:45:00Z,179.19
52,17-04-24T12:46:00Z,179.17
22,17-04-24T12:47:00Z,179.2361
21,17-04-24T12:48:00Z,179.27
73,17-04-24T12:49:00Z,179.25
35,17-04-24T12:50:00Z,179.41
54,17-04-24T12:51:00Z,179.34
11,17-04-24T12:52:00Z,179.3
41,17-04-24T12:53:00Z,179.46
85,17-04-24T12:54:00Z,179.53
20,17-04-24T12:55:00Z,179.4
6,17-04-24T12:56:00Z,179.35
14,17-04-24T12:57:00Z,179.29
76,17-04-24T12:58:00Z,179.27
9,17-04-24T12:59:00Z,179.215
90,17-04-24T13:00:00Z,179.41
31,17-04-24T13:01:00Z,179.33
27,17-04-24T13:03:00Z,179.335
51,17-04-24T13:04:00Z,179.28
89,17-04-24T13:05:00Z,179.28
68,17-04-24T13:06:00Z,179.41
8,17-04-24T13:07:00Z,179.3902
26,17-04-24T13:08:00Z,179.3
56,17-04-24T13:09:00Z,179.3634
61,17-04-24T13:10:00Z,179.33
25,17-04-24T13:11:00Z,179.42
66,17-04-24T13:12:00Z,179.42
33,17-04-24T13:13:00Z,179.47
47,17-04-24T13:14:00Z,179.51
3,17-04-24T13:15:00Z,179.395
29,17-04-24T13:16:00Z,179.4976
64,17-04-24T13:18:00Z,179.46
5,17-04-24T13:19:00Z,179.5
44,17-04-24T13:20:00Z,179.57
87,17-04-24T13:21:00Z,179.54
32,17-04-24T13:22:00Z,179.26
63,17-04-24T13:23:00Z,179.32
58,17-04-24T13:24:00Z,179.245
99,17-04-24T13:25:00Z,179.2972
67,17-04-24T13:26:00Z,179.3185
1,17-04-24T13:27:00Z,179.24
96,17-04-24T13:28:00Z,179.245
16,17-04-24T13:29:00Z,179.25
39,17-04-24T13:30:00Z,179.24
4,17-04-24T13:32:00Z,179.26
60,17-04-24T13:33:00Z,179.24
97,17-04-24T13:34:00Z,179.33
69,17-04-24T13:36:00Z,179.37
77,17-04-24T13:37:00Z,179.18
55,17-04-24T13:39:00Z,179.32
70,17-04-24T13:40:00Z,179.25
38,17-04-24T13:41:00Z,179.35
13,17-04-24T13:42:00Z,179.28
98,17-04-24T13:46:00Z,179.23
45,17-04-24T13:47:00Z,179.23
