,time,price
30,17-04-24T09:30:00Z,22.02
46,17-04-24T09:35:00Z,21.92
17,17-04-24T09:40:00Z,21.85
16,17-04-24T09:45:00Z,21.945
34,17-04-24T09:50:00Z,21.85
22,17-04-24T09:55:00Z,21.82
15,17-04-24T10:00:00Z,21.665
36,17-04-24T10:05:00Z,21.7499
8,17-04-24T10:10:00Z,21.695
33,17-04-24T10:15:00Z,21.805
28,17-04-24T10:20:00Z,21.735
1,17-04-24T10:25:00Z,21.72
29,17-04-24T10:30:00Z,21.705
20,17-04-24T10:35:00Z,21.71
2,17-04-24T10:40:00Z,21.715
10,17-04-24T10:45:00Z,21.7
13,17-04-24T10:50:00Z,21.685
44,17-04-24T10:55:00Z,21.65
0,17-04-24T11:00:00Z,21.745
41,17-04-24T11:05:00Z,21.725
47,17-04-24T11:10:00Z,21.715
9,17-04-24T11:15:00Z,21.685
37,17-04-24T11:20:00Z,21.6852
42,17-04-24T11:25:00Z,21.69
24,17-04-24T11:30:00Z,21.685
32,17-04-24T11:35:00Z,21.68
39,17-04-24T11:40:00Z,21.694
14,17-04-24T11:45:00Z,21.675
38,17-04-24T11:50:00Z,21.665
25,17-04-24T11:55:00Z,21.653
26,17-04-24T12:00:00Z,21.65
6,17-04-24T12:05:00Z,21.62
40,17-04-24T12:10:00Z,21.6275
31,17-04-24T12:15:00Z,21.625
4,17-04-24T12:20:00Z,21.6158
5,17-04-24T12:25:00Z,21.595
18,17-04-24T12:30:00Z,21.5856
19,17-04-24T12:35:00Z,21.595
35,17-04-24T12:40:00Z,21.59
23,17-04-24T12:45:00Z,21.58
11,17-04-24T12:50:00Z,21.563
7,17-04-24T12:55:00Z,21.58
45,17-04-24T13:00:00Z,21.65
43,17-04-24T13:05:00Z,21.7057
27,17-04-24T13:10:00Z,21.6922
3,17-04-24T13:15:00Z,21.69
21,17-04-24T13:20:00Z,21.685
48,17-04-24T13:25:00Z,21.665
12,17-04-24T13:30:00Z,21.6732
