,time,price
0,17-04-24T12:06:00Z,45.11
63,17-04-24T12:07:00Z,45.09
2,17-04-24T12:08:00Z,45.09
88,17-04-24T12:09:00Z,45.1001
85,17-04-24T12:10:00Z,45.09
37,17-04-24T12:11:00Z,45.1
80,17-04-24T12:12:00Z,45.1
20,17-04-24T12:13:00Z,45.1
26,17-04-24T12:14:00Z,45.1
77,17-04-24T12:16:00Z,45.14
56,17-04-24T12:17:00Z,45.15
57,17-04-24T12:18:00Z,45.185
94,17-04-24T12:19:00Z,45.225
8,17-04-24T12:20:00Z,45.24
71,17-04-24T12:21:00Z,45.26
81,17-04-24T12:22:00Z,45.24
60,17-04-24T12:23:00Z,45.245
44,17-04-24T12:24:00Z,45.28
11,17-04-24T12:25:00Z,45.28
16,17-04-24T12:26:00Z,45.31
79,17-04-24T12:27:00Z,45.31
48,17-04-24T12:28:00Z,45.31
93,17-04-24T12:29:00Z,45.315
39,17-04-24T12:30:00Z,45.31
82,17-04-24T12:31:00Z,45.3
73,17-04-24T12:32:00Z,45.3
9,17-04-24T12:33:00Z,45.28
24,17-04-24T12:34:00Z,45.28
40,17-04-24T12:35:00Z,45.29
33,17-04-24T12:36:00Z,45.32
70,17-04-24T12:37:00Z,45.31
49,17-04-24T12:38:00Z,45.3
32,17-04-24T12:39:00Z,45.29
78,17-04-24T12:40:00Z,45.31
46,17-04-24T12:41:00Z,45.32
92,17-04-24T12:42:00Z,45.33
69,17-04-24T12:43:00Z,45.35
47,17-04-24T12:44:00Z,45.33
43,17-04-24T12:45:00Z,45.32
51,17-04-24T12:46:00Z,45.32
19,17-04-24T12:47:00Z,45.32
18,17-04-24T12:48:00Z,45.32
72,17-04-24T12:49:00Z,45.33
31,17-04-24T12:50:00Z,45.32
52,17-04-24T12:51:00Z,45.32
12,17-04-24T12:52:00Z,45.33
38,17-04-24T12:53:00Z,45.315
84,17-04-24T12:54:00Z,45.33
17,17-04-24T12:55:00Z,45.33
7,17-04-24T12:56:00Z,45.315
14,17-04-24T12:57:00Z,45.31
75,17-04-24T12:58:00Z,45.31
91,17-04-24T13:00:00Z,45.33
27,17-04-24T13:01:00Z,45.335
86,17-04-24T13:02:00Z,45.37
23,17-04-24T13:03:00Z,45.36
50,17-04-24T13:04:00Z,45.39
89,17-04-24T13:05:00Z,45.4
66,17-04-24T13:06:00Z,45.44
10,17-04-24T13:07:00Z,45.5
22,17-04-24T13:08:00Z,45.47
54,17-04-24T13:09:00Z,45.47
59,17-04-24T13:10:00Z,45.55
21,17-04-24T13:11:00Z,45.59
64,17-04-24T13:12:00Z,45.56
29,17-04-24T13:13:00Z,45.55
45,17-04-24T13:14:00Z,45.59
3,17-04-24T13:15:00Z,45.665
25,17-04-24T13:16:00Z,45.66
90,17-04-24T13:17:00Z,45.65
62,17-04-24T13:18:00Z,45.61
6,17-04-24T13:19:00Z,45.62
41,17-04-24T13:20:00Z,45.66
87,17-04-24T13:21:00Z,45.65
28,17-04-24T13:22:00Z,45.64
61,17-04-24T13:23:00Z,45.64
55,17-04-24T13:24:00Z,45.64
98,17-04-24T13:25:00Z,45.64
65,17-04-24T13:26:00Z,45.68
1,17-04-24T13:27:00Z,45.67
95,17-04-24T13:28:00Z,45.625
15,17-04-24T13:29:00Z,45.64
35,17-04-24T13:30:00Z,45.62
99,17-04-24T13:31:00Z,45.59
5,17-04-24T13:32:00Z,45.61
58,17-04-24T13:33:00Z,45.605
96,17-04-24T13:34:00Z,45.6336
30,17-04-24T13:35:00Z,45.62
67,17-04-24T13:36:00Z,45.63
76,17-04-24T13:37:00Z,45.61
83,17-04-24T13:38:00Z,45.62
53,17-04-24T13:39:00Z,45.6
68,17-04-24T13:40:00Z,45.575
34,17-04-24T13:41:00Z,45.54
13,17-04-24T13:42:00Z,45.51
4,17-04-24T13:43:00Z,45.46
36,17-04-24T13:44:00Z,45.425
74,17-04-24T13:45:00Z,45.465
97,17-04-24T13:46:00Z,45.43
42,17-04-24T13:47:00Z,45.445
