,time,price
15,17-04-24T12:05:00Z,40.105
0,17-04-24T12:06:00Z,40.1
63,17-04-24T12:07:00Z,40.11
2,17-04-24T12:08:00Z,40.1
88,17-04-24T12:09:00Z,40.1
85,17-04-24T12:10:00Z,40.1
36,17-04-24T12:11:00Z,40.11
80,17-04-24T12:12:00Z,40.12
21,17-04-24T12:13:00Z,40.11
26,17-04-24T12:14:00Z,40.12
60,17-04-24T12:15:00Z,40.095
77,17-04-24T12:16:00Z,40.09
55,17-04-24T12:17:00Z,40.09
56,17-04-24T12:18:00Z,40.105
94,17-04-24T12:19:00Z,40.11
7,17-04-24T12:20:00Z,40.11
71,17-04-24T12:21:00Z,40.115
81,17-04-24T12:22:00Z,40.1
59,17-04-24T12:23:00Z,40.105
43,17-04-24T12:24:00Z,40.1
10,17-04-24T12:25:00Z,40.1
17,17-04-24T12:26:00Z,40.11
79,17-04-24T12:27:00Z,40.11
47,17-04-24T12:28:00Z,40.115
93,17-04-24T12:29:00Z,40.11
38,17-04-24T12:30:00Z,40.11
82,17-04-24T12:31:00Z,40.12
73,17-04-24T12:32:00Z,40.1
8,17-04-24T12:33:00Z,40.1
39,17-04-24T12:35:00Z,40.12
33,17-04-24T12:36:00Z,40.11
70,17-04-24T12:37:00Z,40.1
48,17-04-24T12:38:00Z,40.115
32,17-04-24T12:39:00Z,40.115
78,17-04-24T12:40:00Z,40.105
45,17-04-24T12:41:00Z,40.1042
92,17-04-24T12:42:00Z,40.115
69,17-04-24T12:43:00Z,40.11
46,17-04-24T12:44:00Z,40.11
42,17-04-24T12:45:00Z,40.12
50,17-04-24T12:46:00Z,40.12
20,17-04-24T12:47:00Z,40.12
19,17-04-24T12:48:00Z,40.115
72,17-04-24T12:49:00Z,40.11
31,17-04-24T12:50:00Z,40.115
51,17-04-24T12:51:00Z,40.115
12,17-04-24T12:52:00Z,40.11
37,17-04-24T12:53:00Z,40.11
84,17-04-24T12:54:00Z,40.115
18,17-04-24T12:55:00Z,40.115
6,17-04-24T12:56:00Z,40.095
14,17-04-24T12:57:00Z,40.08
75,17-04-24T12:58:00Z,40.08
11,17-04-24T12:59:00Z,40.07
91,17-04-24T13:00:00Z,40.12
27,17-04-24T13:01:00Z,40.13
86,17-04-24T13:02:00Z,40.14
24,17-04-24T13:03:00Z,40.115
49,17-04-24T13:04:00Z,40.13
89,17-04-24T13:05:00Z,40.11
66,17-04-24T13:06:00Z,40.13
9,17-04-24T13:07:00Z,40.14
23,17-04-24T13:08:00Z,40.13
53,17-04-24T13:09:00Z,40.15
58,17-04-24T13:10:00Z,40.15
22,17-04-24T13:11:00Z,40.16
64,17-04-24T13:12:00Z,40.17
29,17-04-24T13:13:00Z,40.185
44,17-04-24T13:14:00Z,40.17
3,17-04-24T13:15:00Z,40.205
25,17-04-24T13:16:00Z,40.2
90,17-04-24T13:17:00Z,40.185
62,17-04-24T13:18:00Z,40.2
5,17-04-24T13:19:00Z,40.2
40,17-04-24T13:20:00Z,40.21
87,17-04-24T13:21:00Z,40.195
28,17-04-24T13:22:00Z,40.2
61,17-04-24T13:23:00Z,40.18
54,17-04-24T13:24:00Z,40.2
98,17-04-24T13:25:00Z,40.205
65,17-04-24T13:26:00Z,40.22
1,17-04-24T13:27:00Z,40.22
95,17-04-24T13:28:00Z,40.215
16,17-04-24T13:29:00Z,40.24
34,17-04-24T13:30:00Z,40.26
99,17-04-24T13:31:00Z,40.26
4,17-04-24T13:32:00Z,40.27
57,17-04-24T13:33:00Z,40.26
96,17-04-24T13:34:00Z,40.275
30,17-04-24T13:35:00Z,40.26
67,17-04-24T13:36:00Z,40.275
76,17-04-24T13:37:00Z,40.275
83,17-04-24T13:38:00Z,40.28
52,17-04-24T13:39:00Z,40.23
68,17-04-24T13:40:00Z,40.25
13,17-04-24T13:42:00Z,40.26
35,17-04-24T13:44:00Z,40.26
74,17-04-24T13:45:00Z,40.28
97,17-04-24T13:46:00Z,40.28
41,17-04-24T13:47:00Z,40.26
