,time,price
44,17-04-24T09:30:00Z,143.64
64,17-04-24T09:35:00Z,144.115
26,17-04-24T09:40:00Z,144.441
25,17-04-24T09:45:00Z,143.964
49,17-04-24T09:50:00Z,143.92
32,17-04-24T09:55:00Z,143.68
51,17-04-24T10:00:00Z,144.12
36,17-04-24T10:05:00Z,144.34
12,17-04-24T10:10:00Z,144.18
48,17-04-24T10:15:00Z,144.21
42,17-04-24T10:20:00Z,144.08
2,17-04-24T10:25:00Z,144.19
43,17-04-24T10:30:00Z,144.19
29,17-04-24T10:35:00Z,143.85
4,17-04-24T10:40:00Z,143.75
15,17-04-24T10:45:00Z,143.77
22,17-04-24T10:50:00Z,144.185
62,17-04-24T10:55:00Z,144.08
1,17-04-24T11:00:00Z,144.24
58,17-04-24T11:05:00Z,144.0792
66,17-04-24T11:10:00Z,144.13
14,17-04-24T11:15:00Z,144.1
54,17-04-24T11:20:00Z,144.0332
60,17-04-24T11:25:00Z,144.12
34,17-04-24T11:30:00Z,143.88
46,17-04-24T11:35:00Z,143.745
56,17-04-24T11:40:00Z,143.8516
23,17-04-24T11:45:00Z,143.73
55,17-04-24T11:50:00Z,143.7
37,17-04-24T11:55:00Z,143.65
38,17-04-24T12:00:00Z,143.655
8,17-04-24T12:05:00Z,143.905
57,17-04-24T12:10:00Z,143.71
45,17-04-24T12:15:00Z,143.8675
6,17-04-24T12:20:00Z,143.86
7,17-04-24T12:25:00Z,143.71
27,17-04-24T12:30:00Z,143.78
28,17-04-24T12:35:00Z,143.82
52,17-04-24T12:40:00Z,143.9
33,17-04-24T12:45:00Z,143.92
18,17-04-24T12:50:00Z,143.8
11,17-04-24T12:55:00Z,143.91
63,17-04-24T13:00:00Z,143.955
61,17-04-24T13:05:00Z,143.91
41,17-04-24T13:10:00Z,143.92
5,17-04-24T13:15:00Z,143.92
30,17-04-24T13:20:00Z,143.91
67,17-04-24T13:25:00Z,143.93
21,17-04-24T13:30:00Z,143.7673
16,17-04-24T13:35:00Z,143.67
47,17-04-24T13:40:00Z,143.63
50,17-04-24T13:45:00Z,143.64
31,17-04-24T13:50:00Z,143.7
20,17-04-24T13:55:00Z,143.65
13,17-04-24T14:00:00Z,143.68
10,17-04-24T14:05:00Z,143.6105
35,17-04-24T14:10:00Z,143.74
17,17-04-24T14:15:00Z,143.9
65,17-04-24T14:20:00Z,143.84
9,17-04-24T14:25:00Z,143.96
53,17-04-24T14:30:00Z,143.79
24,17-04-24T14:35:00Z,143.73
0,17-04-24T14:40:00Z,143.65
3,17-04-24T14:45:00Z,143.7
39,17-04-24T14:50:00Z,143.61
59,17-04-24T14:55:00Z,143.64
19,17-04-24T15:00:00Z,143.66
40,17-04-24T15:05:00Z,143.781
