,time,price
91,17-04-20T14:20:00Z,101.58
89,17-04-20T14:25:00Z,101.75
45,17-04-20T14:30:00Z,101.74
11,17-04-20T14:35:00Z,101.67
99,17-04-20T14:40:00Z,101.7
54,17-04-20T14:45:00Z,101.69
90,17-04-20T14:50:00Z,101.7011
71,17-04-20T14:55:00Z,101.76
88,17-04-20T15:00:00Z,101.78
69,17-04-20T15:05:00Z,101.68
58,17-04-20T15:10:00Z,101.76
50,17-04-20T15:15:00Z,101.74
5,17-04-20T15:20:00Z,101.71
74,17-04-20T15:25:00Z,101.62
31,17-04-20T15:30:00Z,101.62
49,17-04-20T15:35:00Z,101.7
95,17-04-20T15:40:00Z,101.69
12,17-04-20T15:45:00Z,101.78
39,17-04-20T15:50:00Z,101.76
40,17-04-20T15:55:00Z,101.86
15,17-04-20T16:00:00Z,101.63
37,17-04-21T09:30:00Z,101.56
35,17-04-21T09:35:00Z,100.43
62,17-04-21T09:40:00Z,100.565
92,17-04-21T09:45:00Z,100.985
1,17-04-21T09:50:00Z,100.7
29,17-04-21T09:55:00Z,100.715
36,17-04-21T10:00:00Z,101.21
33,17-04-21T10:05:00Z,100.97
78,17-04-21T10:10:00Z,101.0618
48,17-04-21T10:15:00Z,101.11
85,17-04-21T10:20:00Z,101.22
8,17-04-21T10:25:00Z,101.1903
27,17-04-21T10:30:00Z,101.1831
56,17-04-21T10:35:00Z,101.1
93,17-04-21T10:40:00Z,100.87
68,17-04-21T10:45:00Z,100.93
63,17-04-21T10:50:00Z,101.035
60,17-04-21T10:55:00Z,101.16
6,17-04-21T11:00:00Z,101.08
3,17-04-21T11:05:00Z,101.06
4,17-04-21T11:10:00Z,101.08
81,17-04-21T11:15:00Z,101.0397
22,17-04-21T11:20:00Z,101.39
0,17-04-21T11:25:00Z,101.4974
23,17-04-21T11:30:00Z,101.74
82,17-04-21T11:35:00Z,101.68
96,17-04-21T11:40:00Z,101.61
7,17-04-21T11:45:00Z,101.666
20,17-04-21T11:50:00Z,101.675
38,17-04-21T11:55:00Z,101.66
77,17-04-21T12:00:00Z,101.63
34,17-04-21T12:05:00Z,101.57
73,17-04-21T12:10:00Z,101.5
67,17-04-21T12:15:00Z,101.41
24,17-04-21T12:20:00Z,101.37
19,17-04-21T12:25:00Z,101.32
98,17-04-21T12:30:00Z,101.36
41,17-04-21T12:35:00Z,101.47
83,17-04-21T12:40:00Z,101.53
86,17-04-21T12:45:00Z,101.55
25,17-04-21T12:50:00Z,101.54
43,17-04-21T12:55:00Z,101.56
30,17-04-21T13:00:00Z,101.4845
44,17-04-21T13:05:00Z,101.47
57,17-04-21T13:10:00Z,101.51
18,17-04-21T13:15:00Z,101.41
32,17-04-21T13:20:00Z,101.4
55,17-04-21T13:25:00Z,101.4901
64,17-04-21T13:30:00Z,101.48
9,17-04-21T13:35:00Z,101.445
47,17-04-21T13:40:00Z,101.395
16,17-04-21T13:45:00Z,101.47
80,17-04-21T13:50:00Z,101.42
66,17-04-21T13:55:00Z,101.4215
94,17-04-21T14:00:00Z,101.59
75,17-04-21T14:05:00Z,101.58
70,17-04-21T14:10:00Z,101.59
17,17-04-21T14:15:00Z,101.61
51,17-04-21T14:20:00Z,101.58
52,17-04-21T14:25:00Z,101.58
10,17-04-21T14:30:00Z,101.62
13,17-04-21T14:35:00Z,101.67
65,17-04-21T14:40:00Z,101.595
76,17-04-21T14:45:00Z,101.57
87,17-04-21T14:50:00Z,101.47
59,17-04-21T14:55:00Z,101.5048
14,17-04-21T15:00:00Z,101.51
42,17-04-21T15:05:00Z,101.45
26,17-04-21T15:10:00Z,101.41
53,17-04-21T15:15:00Z,101.41
97,17-04-21T15:20:00Z,101.4
46,17-04-21T15:25:00Z,101.39
79,17-04-21T15:30:00Z,101.58
61,17-04-21T15:35:00Z,101.49
2,17-04-21T15:40:00Z,101.56
21,17-04-21T15:45:00Z,101.62
72,17-04-21T15:50:00Z,101.68
84,17-04-21T15:55:00Z,101.645
28,17-04-21T16:00:00Z,101.6
