,time,price
50,17-04-24T09:30:00Z,60.97
74,17-04-24T09:35:00Z,60.96
30,17-04-24T09:40:00Z,61.01
29,17-04-24T09:45:00Z,60.91
55,17-04-24T09:50:00Z,60.93
36,17-04-24T09:55:00Z,60.93
57,17-04-24T10:00:00Z,60.96
41,17-04-24T10:05:00Z,61.07
13,17-04-24T10:10:00Z,61.1586
54,17-04-24T10:15:00Z,61.095
48,17-04-24T10:20:00Z,61.15
2,17-04-24T10:25:00Z,61.05
49,17-04-24T10:30:00Z,61.04
33,17-04-24T10:35:00Z,60.97
4,17-04-24T10:40:00Z,61.01
16,17-04-24T10:45:00Z,61.075
26,17-04-24T10:50:00Z,61.11
72,17-04-24T10:55:00Z,61.1
1,17-04-24T11:00:00Z,61.15
67,17-04-24T11:05:00Z,61.05
77,17-04-24T11:10:00Z,61.035
15,17-04-24T11:15:00Z,61.02
61,17-04-24T11:20:00Z,61.01
69,17-04-24T11:25:00Z,61.03
38,17-04-24T11:30:00Z,61.07
52,17-04-24T11:35:00Z,61.09
63,17-04-24T11:40:00Z,61.115
27,17-04-24T11:45:00Z,61.0053
62,17-04-24T11:50:00Z,61.0101
43,17-04-24T11:55:00Z,61.04
44,17-04-24T12:00:00Z,61.035
9,17-04-24T12:05:00Z,61.08
66,17-04-24T12:10:00Z,61.095
51,17-04-24T12:15:00Z,61.05
7,17-04-24T12:20:00Z,61.05
8,17-04-24T12:25:00Z,61.08
31,17-04-24T12:30:00Z,61.055
32,17-04-24T12:35:00Z,61.055
58,17-04-24T12:40:00Z,61.06
37,17-04-24T12:45:00Z,61.05
21,17-04-24T12:50:00Z,61.1
12,17-04-24T12:55:00Z,61.09
73,17-04-24T13:00:00Z,61.125
71,17-04-24T13:05:00Z,61.115
47,17-04-24T13:10:00Z,61.11
5,17-04-24T13:15:00Z,61.18
34,17-04-24T13:20:00Z,61.23
78,17-04-24T13:25:00Z,61.23
25,17-04-24T13:30:00Z,61.22
19,17-04-24T13:35:00Z,61.235
53,17-04-24T13:40:00Z,61.19
56,17-04-24T13:45:00Z,61.14
35,17-04-24T13:50:00Z,61.129
24,17-04-24T13:55:00Z,61.145
14,17-04-24T14:00:00Z,61.145
11,17-04-24T14:05:00Z,61.145
39,17-04-24T14:10:00Z,61.19
20,17-04-24T14:15:00Z,61.2011
75,17-04-24T14:20:00Z,61.265
10,17-04-24T14:25:00Z,61.3
59,17-04-24T14:30:00Z,61.31
28,17-04-24T14:35:00Z,61.2954
0,17-04-24T14:40:00Z,61.225
3,17-04-24T14:45:00Z,61.28
45,17-04-24T14:50:00Z,61.21
68,17-04-24T14:55:00Z,61.2
23,17-04-24T15:00:00Z,61.22
46,17-04-24T15:05:00Z,61.22
60,17-04-24T15:10:00Z,61.28
64,17-04-24T15:15:00Z,61.295
18,17-04-24T15:20:00Z,61.275
22,17-04-24T15:25:00Z,61.31
40,17-04-24T15:30:00Z,61.32
65,17-04-24T15:35:00Z,61.305
17,17-04-24T15:40:00Z,61.3
6,17-04-24T15:45:00Z,61.22
76,17-04-24T15:50:00Z,61.2
70,17-04-24T15:55:00Z,61.15
42,17-04-24T16:00:00Z,61.11
