,time,price
1,17-04-24T12:08:00Z,30.94
88,17-04-24T12:09:00Z,30.945
85,17-04-24T12:10:00Z,30.95
37,17-04-24T12:11:00Z,30.96
80,17-04-24T12:12:00Z,30.975
20,17-04-24T12:13:00Z,30.96
26,17-04-24T12:14:00Z,30.96
61,17-04-24T12:15:00Z,30.95
77,17-04-24T12:16:00Z,30.94
56,17-04-24T12:17:00Z,30.94
57,17-04-24T12:18:00Z,30.96
94,17-04-24T12:19:00Z,30.97
7,17-04-24T12:20:00Z,30.96
71,17-04-24T12:21:00Z,30.96
81,17-04-24T12:22:00Z,30.95
60,17-04-24T12:23:00Z,30.95
44,17-04-24T12:24:00Z,30.96
10,17-04-24T12:25:00Z,30.965
16,17-04-24T12:26:00Z,30.96
79,17-04-24T12:27:00Z,30.96
48,17-04-24T12:28:00Z,30.955
93,17-04-24T12:29:00Z,30.955
39,17-04-24T12:30:00Z,30.9442
82,17-04-24T12:31:00Z,30.94
73,17-04-24T12:32:00Z,30.94
8,17-04-24T12:33:00Z,30.945
24,17-04-24T12:34:00Z,30.94
40,17-04-24T12:35:00Z,30.94
33,17-04-24T12:36:00Z,30.97
70,17-04-24T12:37:00Z,30.97
49,17-04-24T12:38:00Z,30.96
32,17-04-24T12:39:00Z,30.96
78,17-04-24T12:40:00Z,30.945
46,17-04-24T12:41:00Z,30.94
92,17-04-24T12:42:00Z,30.94
69,17-04-24T12:43:00Z,30.94
47,17-04-24T12:44:00Z,30.95
43,17-04-24T12:45:00Z,30.94
51,17-04-24T12:46:00Z,30.94
19,17-04-24T12:47:00Z,30.95
18,17-04-24T12:48:00Z,30.935
72,17-04-24T12:49:00Z,30.95
31,17-04-24T12:50:00Z,30.95
52,17-04-24T12:51:00Z,30.955
12,17-04-24T12:52:00Z,30.95
38,17-04-24T12:53:00Z,30.95
84,17-04-24T12:54:00Z,30.945
17,17-04-24T12:55:00Z,30.945
6,17-04-24T12:56:00Z,30.93
14,17-04-24T12:57:00Z,30.93
75,17-04-24T12:58:00Z,30.93
11,17-04-24T12:59:00Z,30.93
91,17-04-24T13:00:00Z,30.96
27,17-04-24T13:01:00Z,30.95
86,17-04-24T13:02:00Z,30.96
23,17-04-24T13:03:00Z,30.96
50,17-04-24T13:04:00Z,30.97
89,17-04-24T13:05:00Z,30.96
66,17-04-24T13:06:00Z,30.96
9,17-04-24T13:07:00Z,30.96
22,17-04-24T13:08:00Z,30.9642
54,17-04-24T13:09:00Z,30.96
59,17-04-24T13:10:00Z,30.95
21,17-04-24T13:11:00Z,30.96
64,17-04-24T13:12:00Z,30.96
29,17-04-24T13:13:00Z,30.96
45,17-04-24T13:14:00Z,30.96
2,17-04-24T13:15:00Z,30.97
25,17-04-24T13:16:00Z,30.965
90,17-04-24T13:17:00Z,30.96
63,17-04-24T13:18:00Z,30.97
5,17-04-24T13:19:00Z,30.96
41,17-04-24T13:20:00Z,30.97
87,17-04-24T13:21:00Z,30.95
28,17-04-24T13:22:00Z,30.95
62,17-04-24T13:23:00Z,30.95
55,17-04-24T13:24:00Z,30.935
98,17-04-24T13:25:00Z,30.94
65,17-04-24T13:26:00Z,30.95
0,17-04-24T13:27:00Z,30.95
95,17-04-24T13:28:00Z,30.94
15,17-04-24T13:29:00Z,30.94
35,17-04-24T13:30:00Z,30.94
99,17-04-24T13:31:00Z,30.94
4,17-04-24T13:32:00Z,30.94
58,17-04-24T13:33:00Z,30.94
96,17-04-24T13:34:00Z,30.945
30,17-04-24T13:35:00Z,30.94
67,17-04-24T13:36:00Z,30.95
76,17-04-24T13:37:00Z,30.9599
83,17-04-24T13:38:00Z,30.94
53,17-04-24T13:39:00Z,30.94
68,17-04-24T13:40:00Z,30.945
34,17-04-24T13:41:00Z,30.94
13,17-04-24T13:42:00Z,30.94
3,17-04-24T13:43:00Z,30.93
36,17-04-24T13:44:00Z,30.92
74,17-04-24T13:45:00Z,30.92
97,17-04-24T13:46:00Z,30.91
42,17-04-24T13:47:00Z,30.92
