,time,price
44,17-04-24T09:30:00Z,309.21
64,17-04-24T09:35:00Z,308.48
26,17-04-24T09:40:00Z,308.79
25,17-04-24T09:45:00Z,309.9
49,17-04-24T09:50:00Z,309.32
32,17-04-24T09:55:00Z,308.8861
51,17-04-24T10:00:00Z,308.9953
36,17-04-24T10:05:00Z,308.76
12,17-04-24T10:10:00Z,307.86
48,17-04-24T10:15:00Z,308.316
42,17-04-24T10:20:00Z,307.75
2,17-04-24T10:25:00Z,308.225
43,17-04-24T10:30:00Z,307.715
29,17-04-24T10:35:00Z,306.2154
4,17-04-24T10:40:00Z,306.63
15,17-04-24T10:45:00Z,306.5072
22,17-04-24T10:50:00Z,306.97
62,17-04-24T10:55:00Z,306.76
1,17-04-24T11:00:00Z,307.0608
58,17-04-24T11:05:00Z,307.28
66,17-04-24T11:10:00Z,307.2
14,17-04-24T11:15:00Z,307.08
54,17-04-24T11:20:00Z,307.065
60,17-04-24T11:25:00Z,307.02
34,17-04-24T11:30:00Z,306.55
46,17-04-24T11:35:00Z,307.017
56,17-04-24T11:40:00Z,307.6
23,17-04-24T11:45:00Z,307.4
55,17-04-24T11:50:00Z,307.27
37,17-04-24T11:55:00Z,307.14
38,17-04-24T12:00:00Z,307.44
8,17-04-24T12:05:00Z,308.13
57,17-04-24T12:10:00Z,307.985
45,17-04-24T12:15:00Z,308.09
6,17-04-24T12:20:00Z,307.79
7,17-04-24T12:25:00Z,307.86
27,17-04-24T12:30:00Z,307.66
28,17-04-24T12:35:00Z,307.08
52,17-04-24T12:40:00Z,307.32
33,17-04-24T12:45:00Z,307.06
18,17-04-24T12:50:00Z,307.2
11,17-04-24T12:55:00Z,307.26
63,17-04-24T13:00:00Z,307.24
61,17-04-24T13:05:00Z,307.36
41,17-04-24T13:10:00Z,307.35
5,17-04-24T13:15:00Z,307.43
30,17-04-24T13:20:00Z,307.568
67,17-04-24T13:25:00Z,307.32
21,17-04-24T13:30:00Z,307.18
16,17-04-24T13:35:00Z,307.14
47,17-04-24T13:40:00Z,307.06
50,17-04-24T13:45:00Z,307.36
31,17-04-24T13:50:00Z,307.36
20,17-04-24T13:55:00Z,307.18
13,17-04-24T14:00:00Z,307.2856
10,17-04-24T14:05:00Z,307.28
35,17-04-24T14:10:00Z,307.46
17,17-04-24T14:15:00Z,307.69
65,17-04-24T14:20:00Z,307.849
9,17-04-24T14:25:00Z,307.83
53,17-04-24T14:30:00Z,308.05
24,17-04-24T14:35:00Z,308.24
0,17-04-24T14:40:00Z,307.8416
3,17-04-24T14:45:00Z,307.88
39,17-04-24T14:50:00Z,307.69
59,17-04-24T14:55:00Z,307.78
19,17-04-24T15:00:00Z,307.77
40,17-04-24T15:05:00Z,307.9
