,time,price
50,17-04-24T09:30:00Z,80.97
74,17-04-24T09:35:00Z,81.06
30,17-04-24T09:40:00Z,81.345
29,17-04-24T09:45:00Z,81.35
55,17-04-24T09:50:00Z,81.2
36,17-04-24T09:55:00Z,81.19
57,17-04-24T10:00:00Z,81.3
41,17-04-24T10:05:00Z,81.425
13,17-04-24T10:10:00Z,81.26
54,17-04-24T10:15:00Z,81.41
48,17-04-24T10:20:00Z,81.31
2,17-04-24T10:25:00Z,81.155
49,17-04-24T10:30:00Z,81.2035
33,17-04-24T10:35:00Z,81.13
4,17-04-24T10:40:00Z,81.13
16,17-04-24T10:45:00Z,81.195
26,17-04-24T10:50:00Z,81.21
72,17-04-24T10:55:00Z,81.145
1,17-04-24T11:00:00Z,81.135
67,17-04-24T11:05:00Z,81.16
77,17-04-24T11:10:00Z,81.15
15,17-04-24T11:15:00Z,81.0
61,17-04-24T11:20:00Z,81.02
69,17-04-24T11:25:00Z,81.15
38,17-04-24T11:30:00Z,81.27
52,17-04-24T11:35:00Z,81.255
63,17-04-24T11:40:00Z,81.255
27,17-04-24T11:45:00Z,81.27
62,17-04-24T11:50:00Z,81.245
43,17-04-24T11:55:00Z,81.21
44,17-04-24T12:00:00Z,81.21
9,17-04-24T12:05:00Z,81.28
66,17-04-24T12:10:00Z,81.28
51,17-04-24T12:15:00Z,81.27
7,17-04-24T12:20:00Z,81.295
8,17-04-24T12:25:00Z,81.27
31,17-04-24T12:30:00Z,81.2
32,17-04-24T12:35:00Z,81.16
58,17-04-24T12:40:00Z,81.17
37,17-04-24T12:45:00Z,81.14
21,17-04-24T12:50:00Z,81.12
12,17-04-24T12:55:00Z,81.09
73,17-04-24T13:00:00Z,81.13
71,17-04-24T13:05:00Z,81.12
47,17-04-24T13:10:00Z,81.07
5,17-04-24T13:15:00Z,81.09
34,17-04-24T13:20:00Z,81.1
78,17-04-24T13:25:00Z,81.1
25,17-04-24T13:30:00Z,81.095
19,17-04-24T13:35:00Z,81.06
53,17-04-24T13:40:00Z,81.06
56,17-04-24T13:45:00Z,81.04
35,17-04-24T13:50:00Z,81.02
24,17-04-24T13:55:00Z,81.0143
14,17-04-24T14:00:00Z,81.0399
11,17-04-24T14:05:00Z,81.04
39,17-04-24T14:10:00Z,81.13
20,17-04-24T14:15:00Z,81.08
75,17-04-24T14:20:00Z,81.1
10,17-04-24T14:25:00Z,81.11
59,17-04-24T14:30:00Z,81.15
28,17-04-24T14:35:00Z,81.1542
0,17-04-24T14:40:00Z,81.14
3,17-04-24T14:45:00Z,81.1135
45,17-04-24T14:50:00Z,81.125
68,17-04-24T14:55:00Z,81.12
23,17-04-24T15:00:00Z,81.15
46,17-04-24T15:05:00Z,81.19
60,17-04-24T15:10:00Z,81.225
64,17-04-24T15:15:00Z,81.23
18,17-04-24T15:20:00Z,81.16
22,17-04-24T15:25:00Z,81.16
40,17-04-24T15:30:00Z,81.185
65,17-04-24T15:35:00Z,81.06
17,17-04-24T15:40:00Z,81.06
6,17-04-24T15:45:00Z,81.07
76,17-04-24T15:50:00Z,81.12
70,17-04-24T15:55:00Z,81.1
42,17-04-24T16:00:00Z,81.08
