,time,price
30,17-04-24T09:30:00Z,26.2
46,17-04-24T09:35:00Z,26.2532
17,17-04-24T09:40:00Z,26.27
16,17-04-24T09:45:00Z,26.26
34,17-04-24T09:50:00Z,26.2693
22,17-04-24T09:55:00Z,26.23
15,17-04-24T10:00:00Z,26.2405
36,17-04-24T10:05:00Z,26.25
8,17-04-24T10:10:00Z,26.28
33,17-04-24T10:15:00Z,26.285
28,17-04-24T10:20:00Z,26.29
1,17-04-24T10:25:00Z,26.28
29,17-04-24T10:30:00Z,26.25
20,17-04-24T10:35:00Z,26.271
2,17-04-24T10:40:00Z,26.27
10,17-04-24T10:45:00Z,26.255
13,17-04-24T10:50:00Z,26.28
44,17-04-24T10:55:00Z,26.265
0,17-04-24T11:00:00Z,26.26
41,17-04-24T11:05:00Z,26.2742
47,17-04-24T11:10:00Z,26.28
9,17-04-24T11:15:00Z,26.29
37,17-04-24T11:20:00Z,26.2658
42,17-04-24T11:25:00Z,26.28
24,17-04-24T11:30:00Z,26.265
32,17-04-24T11:35:00Z,26.3
39,17-04-24T11:40:00Z,26.3
14,17-04-24T11:45:00Z,26.275
38,17-04-24T11:50:00Z,26.28
25,17-04-24T11:55:00Z,26.27
26,17-04-24T12:00:00Z,26.265
6,17-04-24T12:05:00Z,26.274
40,17-04-24T12:10:00Z,26.2799
31,17-04-24T12:15:00Z,26.28
4,17-04-24T12:20:00Z,26.26
5,17-04-24T12:25:00Z,26.26
18,17-04-24T12:30:00Z,26.2599
19,17-04-24T12:35:00Z,26.25
35,17-04-24T12:40:00Z,26.26
23,17-04-24T12:45:00Z,26.2639
11,17-04-24T12:50:00Z,26.2659
7,17-04-24T12:55:00Z,26.28
45,17-04-24T13:00:00Z,26.27
43,17-04-24T13:05:00Z,26.2835
27,17-04-24T13:10:00Z,26.295
3,17-04-24T13:15:00Z,26.3
21,17-04-24T13:20:00Z,26.2901
48,17-04-24T13:25:00Z,26.295
12,17-04-24T13:30:00Z,26.2925
