,time,price
88,17-04-24T12:09:00Z,84.57
85,17-04-24T12:10:00Z,84.56
36,17-04-24T12:11:00Z,84.5576
80,17-04-24T12:12:00Z,84.57
19,17-04-24T12:13:00Z,84.57
25,17-04-24T12:14:00Z,84.55
61,17-04-24T12:15:00Z,84.55
77,17-04-24T12:16:00Z,84.55
56,17-04-24T12:17:00Z,84.53
57,17-04-24T12:18:00Z,84.52
94,17-04-24T12:19:00Z,84.51
6,17-04-24T12:20:00Z,84.5214
71,17-04-24T12:21:00Z,84.5211
81,17-04-24T12:22:00Z,84.52
60,17-04-24T12:23:00Z,84.51
44,17-04-24T12:24:00Z,84.5196
9,17-04-24T12:25:00Z,84.525
15,17-04-24T12:26:00Z,84.52
79,17-04-24T12:27:00Z,84.525
48,17-04-24T12:28:00Z,84.525
93,17-04-24T12:29:00Z,84.52
38,17-04-24T12:30:00Z,84.47
82,17-04-24T12:31:00Z,84.47
73,17-04-24T12:32:00Z,84.46
7,17-04-24T12:33:00Z,84.4
23,17-04-24T12:34:00Z,84.355
39,17-04-24T12:35:00Z,84.37
32,17-04-24T12:36:00Z,84.385
70,17-04-24T12:37:00Z,84.42
49,17-04-24T12:38:00Z,84.435
31,17-04-24T12:39:00Z,84.44
78,17-04-24T12:40:00Z,84.39
46,17-04-24T12:41:00Z,84.36
92,17-04-24T12:42:00Z,84.35
69,17-04-24T12:43:00Z,84.32
47,17-04-24T12:44:00Z,84.315
43,17-04-24T12:45:00Z,84.34
51,17-04-24T12:46:00Z,84.33
18,17-04-24T12:47:00Z,84.32
17,17-04-24T12:48:00Z,84.36
72,17-04-24T12:49:00Z,84.295
30,17-04-24T12:50:00Z,84.275
52,17-04-24T12:51:00Z,84.29
11,17-04-24T12:52:00Z,84.26
37,17-04-24T12:53:00Z,84.28
84,17-04-24T12:54:00Z,84.26
16,17-04-24T12:55:00Z,84.2445
5,17-04-24T12:56:00Z,84.23
13,17-04-24T12:57:00Z,84.23
75,17-04-24T12:58:00Z,84.23
10,17-04-24T12:59:00Z,84.22
91,17-04-24T13:00:00Z,84.26
26,17-04-24T13:01:00Z,84.28
86,17-04-24T13:02:00Z,84.275
22,17-04-24T13:03:00Z,84.3
50,17-04-24T13:04:00Z,84.355
89,17-04-24T13:05:00Z,84.29
66,17-04-24T13:06:00Z,84.29
8,17-04-24T13:07:00Z,84.325
21,17-04-24T13:08:00Z,84.31
54,17-04-24T13:09:00Z,84.29
59,17-04-24T13:10:00Z,84.24
20,17-04-24T13:11:00Z,84.265
64,17-04-24T13:12:00Z,84.25
28,17-04-24T13:13:00Z,84.24
45,17-04-24T13:14:00Z,84.26
1,17-04-24T13:15:00Z,84.25
24,17-04-24T13:16:00Z,84.263
90,17-04-24T13:17:00Z,84.255
63,17-04-24T13:18:00Z,84.225
4,17-04-24T13:19:00Z,84.205
40,17-04-24T13:20:00Z,84.23
87,17-04-24T13:21:00Z,84.21
27,17-04-24T13:22:00Z,84.18
62,17-04-24T13:23:00Z,84.19
55,17-04-24T13:24:00Z,84.19
98,17-04-24T13:25:00Z,84.22
65,17-04-24T13:26:00Z,84.25
0,17-04-24T13:27:00Z,84.24
95,17-04-24T13:28:00Z,84.2111
14,17-04-24T13:29:00Z,84.23
34,17-04-24T13:30:00Z,84.24
99,17-04-24T13:31:00Z,84.22
3,17-04-24T13:32:00Z,84.24
58,17-04-24T13:33:00Z,84.25
96,17-04-24T13:34:00Z,84.28
29,17-04-24T13:35:00Z,84.3
67,17-04-24T13:36:00Z,84.31
76,17-04-24T13:37:00Z,84.275
83,17-04-24T13:38:00Z,84.295
53,17-04-24T13:39:00Z,84.27
68,17-04-24T13:40:00Z,84.3
33,17-04-24T13:41:00Z,84.345
12,17-04-24T13:42:00Z,84.36
2,17-04-24T13:43:00Z,84.305
35,17-04-24T13:44:00Z,84.265
74,17-04-24T13:45:00Z,84.3
97,17-04-24T13:46:00Z,84.31
41,17-04-24T13:47:00Z,84.32
42,17-04-24T13:48:00Z,84.33
