,time,price
88,17-04-24T12:09:00Z,48.03
85,17-04-24T12:10:00Z,48.0342
36,17-04-24T12:11:00Z,48.035
80,17-04-24T12:12:00Z,48.06
19,17-04-24T12:13:00Z,48.045
25,17-04-24T12:14:00Z,48.06
61,17-04-24T12:15:00Z,48.06
77,17-04-24T12:16:00Z,48.06
56,17-04-24T12:17:00Z,48.06
57,17-04-24T12:18:00Z,48.06
94,17-04-24T12:19:00Z,48.06
6,17-04-24T12:20:00Z,48.03
71,17-04-24T12:21:00Z,48.04
81,17-04-24T12:22:00Z,48.03
60,17-04-24T12:23:00Z,48.03
44,17-04-24T12:24:00Z,48.02
9,17-04-24T12:25:00Z,48.03
15,17-04-24T12:26:00Z,48.03
79,17-04-24T12:27:00Z,48.04
48,17-04-24T12:28:00Z,48.04
93,17-04-24T12:29:00Z,48.05
38,17-04-24T12:30:00Z,48.04
82,17-04-24T12:31:00Z,48.03
73,17-04-24T12:32:00Z,48.04
7,17-04-24T12:33:00Z,48.03
23,17-04-24T12:34:00Z,48.02
39,17-04-24T12:35:00Z,48.03
32,17-04-24T12:36:00Z,48.05
70,17-04-24T12:37:00Z,48.05
49,17-04-24T12:38:00Z,48.06
31,17-04-24T12:39:00Z,48.0501
78,17-04-24T12:40:00Z,48.03
46,17-04-24T12:41:00Z,48.03
92,17-04-24T12:42:00Z,48.02
69,17-04-24T12:43:00Z,48.02
47,17-04-24T12:44:00Z,48.01
43,17-04-24T12:45:00Z,47.985
51,17-04-24T12:46:00Z,47.99
18,17-04-24T12:47:00Z,48.0
17,17-04-24T12:48:00Z,48.0
72,17-04-24T12:49:00Z,47.99
30,17-04-24T12:50:00Z,47.965
52,17-04-24T12:51:00Z,47.97
11,17-04-24T12:52:00Z,47.975
37,17-04-24T12:53:00Z,47.97
84,17-04-24T12:54:00Z,47.97
16,17-04-24T12:55:00Z,47.97
5,17-04-24T12:56:00Z,47.97
13,17-04-24T12:57:00Z,47.96
75,17-04-24T12:58:00Z,47.97
10,17-04-24T12:59:00Z,47.97
91,17-04-24T13:00:00Z,47.985
26,17-04-24T13:01:00Z,47.97
86,17-04-24T13:02:00Z,47.96
22,17-04-24T13:03:00Z,47.95
50,17-04-24T13:04:00Z,47.96
89,17-04-24T13:05:00Z,47.96
66,17-04-24T13:06:00Z,47.96
8,17-04-24T13:07:00Z,47.974
21,17-04-24T13:08:00Z,47.97
54,17-04-24T13:09:00Z,47.975
59,17-04-24T13:10:00Z,47.99
20,17-04-24T13:11:00Z,47.98
64,17-04-24T13:12:00Z,47.97
28,17-04-24T13:13:00Z,47.96
45,17-04-24T13:14:00Z,47.96
1,17-04-24T13:15:00Z,47.965
24,17-04-24T13:16:00Z,47.96
90,17-04-24T13:17:00Z,47.95
63,17-04-24T13:18:00Z,47.955
4,17-04-24T13:19:00Z,47.94
40,17-04-24T13:20:00Z,47.96
87,17-04-24T13:21:00Z,47.95
27,17-04-24T13:22:00Z,47.96
62,17-04-24T13:23:00Z,47.95
55,17-04-24T13:24:00Z,47.965
98,17-04-24T13:25:00Z,47.97
65,17-04-24T13:26:00Z,47.98
0,17-04-24T13:27:00Z,47.97
95,17-04-24T13:28:00Z,47.97
14,17-04-24T13:29:00Z,47.99
34,17-04-24T13:30:00Z,47.99
99,17-04-24T13:31:00Z,47.99
3,17-04-24T13:32:00Z,48.01
58,17-04-24T13:33:00Z,48.01
96,17-04-24T13:34:00Z,48.005
29,17-04-24T13:35:00Z,48.005
67,17-04-24T13:36:00Z,48.005
76,17-04-24T13:37:00Z,48.005
83,17-04-24T13:38:00Z,48.005
53,17-04-24T13:39:00Z,48.005
68,17-04-24T13:40:00Z,48.035
33,17-04-24T13:41:00Z,48.035
12,17-04-24T13:42:00Z,48.015
2,17-04-24T13:43:00Z,48.015
35,17-04-24T13:44:00Z,48.01
74,17-04-24T13:45:00Z,48.015
97,17-04-24T13:46:00Z,48.0233
41,17-04-24T13:47:00Z,48.02
42,17-04-24T13:48:00Z,48.0275
